cluster_id,cluster_size,preliminary_label,customer_goal,confidence,coherent,possible_parent_intent,kind,family_key,exact_dup_share,median_member_chars,url_share,multilingual_flag,merge_candidates,split_candidates,reasoning,representative_examples
0,35,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,1.0,21.0,0.0,no,MG-01,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=35, dup=1.0, url_share=0.0.",@AmazonHelp Thank you ;; @AmazonHelp Thank you ;; @AmazonHelp Thank you
1,79,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.937,22.0,0.0,no,MG-01,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=79, dup=0.9367088607594936, url_share=0.0.",@AmazonHelp Thank You! ;; @AmazonHelp Thank you! ;; @AmazonHelp Thank You!
2,49,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.959,22.0,0.0,no,MG-01,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=49, dup=0.9591836734693876, url_share=0.0.",@AmazonHelp Thank you! ;; @AmazonHelp thank you! c: ;; @AmazonHelp Thank you!
3,33,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.97,21.0,0.0,no,MG-01,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=33, dup=0.9696969696969696, url_share=0.0.",@AmazonHelp Thank you ;; @AmazonHelp Thank you ;; @AmazonHelp Thank you
4,82,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.976,21.0,0.0,no,MG-01,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=82, dup=0.975609756097561, url_share=0.0.",@AmazonHelp Thanku ^CT ;; @AmazonHelp Thank you ;; @AmazonHelp Thank you Shonna
5,67,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.925,22.0,0.0,no,MG-01,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=67, dup=0.9253731343283582, url_share=0.0.","@AmazonHelp Thank You. ;; @AmazonHelp Thank you, CR. ;; @AmazonHelp Thanks. Appreciate &amp; look forward."
6,34,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.941,21.0,0.0,no,MG-01,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=34, dup=0.9411764705882352, url_share=0.0.",@AmazonHelp Ok thanks ;; @AmazonHelp Ok thanks bv ;; @AmazonHelp Ok thanks
7,12267,Large mixed cluster - not one coherent intent (needs sub-splitting),"UNCERTAIN - multiple goals appear to be mixed (delivery/order/marketplace), incl. multilingual.",low,no,Needs re-clustering,contextual,megacluster_unclear,0.019,138.0,0.069,yes,,7,"Low confidence. Family: Large mixed cluster - not one coherent intent (needs sub-splitting). Signials: size=12267, dup=0.0190755685986793, url_share=0.0688839977174533.","@AmazonHelp Eso que tiene que ver? Yo he comprado en Amazon y desde luego por teléfono no han puesto tantos problemas para gestionar la reclamación ;; @AmazonHelp I’ve a contract with you. I’ve paid for amazon Deck 109. Is this the same as block 109? Surely you know where Amazon deck 109 is??? This is sooooo p ;; @AmazonHelp D'après le SAV Amazon c'était soit Amazon soit moi qui aurait demandé ce retour, hors ce n'est pas le cas."
8,126,Price changed vs listing / sale price discrepancy,"Understand or adjust a price that changed after listing, in cart, or at checkout.",high,yes,Shopping & catalogue,intent,price_change,0.024,123.5,0.071,no,,,"High confidence. Family: Price changed vs listing / sale price discrepancy. Signials: size=126, dup=0.0238095238095238, url_share=0.0714285714285714.",@AmazonHelp Do you think that Bombay Dyeing will put MRP of Rs.3711 or Rs.1799 depending upon the Region?? ;; @AmazonHelp Says taxes inclusive in MRP 😂😂 ;; @AmazonHelp Due to GST every state have same MRP now and this product is manufactured after GST how you can charge more than MRP explain this or I will go to th
9,35,Frustration / anger with little or no actionable request,Vent frustration or insult support; a concrete solvable request is absent from the reps.,high,yes,Sentiment / venting (not a customer goal),sentiment,negative_frustration,0.0,112.0,0.143,no,,,"High confidence. Family: Frustration / anger with little or no actionable request. Signials: size=35, dup=0.0, url_share=0.1428571428571428.",@AmazonHelp @115851 is big joker and @115850 big looser not even keep their words ;; @AmazonHelp JOker looks at attachment.. @115851 big joker @115850 #resolutionteam &amp; #Cteam master joker @115821.com https://t.co/wq4wqNtwjY ;; @AmazonHelp I've already given details multiple time But you #joker never responded only sorry and apologies big joker @115821 https://t.co/23SWMRp3Bo
10,82,Carrier identification or carrier-specific issue,"State which carrier delivered/shipped, or resolve a carrier-specific delivery problem.",high,yes,Delivery & shipping,intent,delivery_carrier,0.232,28.5,0.012,no,MG-08,,"High confidence. Family: Carrier identification or carrier-specific issue. Signials: size=82, dup=0.2317073170731707, url_share=0.0121951219512195.",@AmazonHelp Both times it was amzl us ;; @AmazonHelp AMZL US. ;; @AmazonHelp “AMZL US” ?
11,59,Already provided the requested details (DM / form / email / screenshots),Stop being asked repeatedly for details already submitted; get the case progressed.,high,yes,Verification / information flow,contextual,detail_provided,0.119,52.0,0.0,yes,MG-06,,"High confidence. Family: Already provided the requested details (DM / form / email / screenshots). Signials: size=59, dup=0.1186440677966101, url_share=0.0.",@AmazonHelp os mando la incidencia por privado (soy bueno) 😉 ;; @AmazonHelp @132703 Sí! Os paso los datos por privado. ;; @AmazonHelp Os he dejado un privado
12,157,Contest / quiz participation and results,"Get contest results, verify participation, or resolve a quiz/contest issue.",high,yes,Promotions & offers,intent,contest_promo,0.0,82.0,0.057,no,,,"High confidence. Family: Contest / quiz participation and results. Signials: size=157, dup=0.0, url_share=0.0573248407643312.",@AmazonHelp R u fooling me how many quiz contest ur conducted just on one plus 5t? ;; @AmazonHelp Thanks for sharing the details. I hope to be one of the winner of #OnePlus5T 😆 ;; @AmazonHelp This result is not for 25th september quiz. I doubt that if the draw is really made or not or itz all fake.
13,59,Stock / CODPIN / pincode availability; item out of stock,Find out why an item cannot be ordered or fulfilled to the customer's location.,high,yes,Shopping & catalogue,intent,stock_availability,0.0,110.0,0.034,yes,,,"High confidence. Family: Stock / CODPIN / pincode availability; item out of stock. Signials: size=59, dup=0.0, url_share=0.0338983050847457.","@AmazonHelp Second thing is as u told MSOP not guaranteed for COD method , i reffered to your COD T&amp;C and did not find any such terms (1/2) https://t.co/XHe ;; @AmazonHelp COD is available for another account of my friend. Our pincodes are also same. COD is not available for only my account. ;; @AmazonHelp I am unable to place the order for pincode 201005.pls help"
14,481,Already provided the requested details (DM / form / email / screenshots),Stop being asked repeatedly for details already submitted; get the case progressed.,high,yes,Verification / information flow,contextual,detail_provided,0.06,37.0,0.006,yes,MG-06,,"High confidence. Family: Already provided the requested details (DM / form / email / screenshots). Signials: size=481, dup=0.0602910602910602, url_share=0.0062370062370062.",@AmazonHelp não consegui. vou mandar DM pra vocês. ;; @AmazonHelp Thank you. I've followed the instructions given in the DM. ;; @AmazonHelp Just sent you a dm. Thanks.
15,76,Item not received although marked delivered / item missing from parcel,Locate or replace an item that did not arrive despite being marked delivered.,high,yes,Delivery & shipping,intent,item_missing,0.0,123.5,0.105,yes,,,"High confidence. Family: Item not received although marked delivered / item missing from parcel. Signials: size=76, dup=0.0, url_share=0.1052631578947368.","@AmazonHelp Umm nothing just a refund. Kidding me after so much heartache and not getting my costume on time! ;; @AmazonHelp Thanks for your assistance, but unless there's an option for a new costume by 3:00 p.m. E.S.T. today, I'm not interested... ;; @AmazonHelp I used @115821 for my Halloween costume because I trust the company. Now not only have they sent it to the wrong place. They didn’t expedite"
16,43,Carrier identification or carrier-specific issue,"State which carrier delivered/shipped, or resolve a carrier-specific delivery problem.",high,yes,Delivery & shipping,intent,delivery_carrier,0.0,139.0,0.186,yes,,,"High confidence. Family: Carrier identification or carrier-specific issue. Signials: size=43, dup=0.0, url_share=0.1860465116279069.","@AmazonHelp Hermes hat hier schon mehrfach angegeben geliefert zu haben, was nicht stimmte, gestern kam kein Paket, kommt nun angeblich heute usw. https://t.co/ ;; @AmazonHelp @4772 doch sie brauchen nur bei Hermes anrufen, sich mit dem örtlichen Zentrum (Stolberg/Rhl.)verbinden lassen und zur Not den dortigen Leiter auffo ;; @AmazonHelp Es gibt zwei Varianten zu diesem Thema. Erste Variante: Hermes hat es nicht pünktlich geschafft. Zweite Variante: ihr habt die Lieferung .."
17,36,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.778,24.0,0.0,no,MG-01,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=36, dup=0.7777777777777778, url_share=0.0.",@AmazonHelp okay thank you ;; @AmazonHelp Ok thank you for that ;; @AmazonHelp Ah fixed thanks
18,84,Carrier identification or carrier-specific issue,"State which carrier delivered/shipped, or resolve a carrier-specific delivery problem.",high,yes,Delivery & shipping,intent,delivery_carrier,0.06,101.0,0.048,no,,,"High confidence. Family: Carrier identification or carrier-specific issue. Signials: size=84, dup=0.0595238095238095, url_share=0.0476190476190476.","@AmazonHelp Royal Mail have confirmed their courier returned it to the depot to be delivered tomorrow, no reason was given for the failure to deliver. ;; @AmazonHelp This is Royal Mail! Why didn’t it get sent AM delivery?! ;; @AmazonHelp Royal Mail are meant to be delivering today, and you list it as 'Out for delivery' but the tracking on the RM site only shows received at the sortin"
19,63,Question whether support is a bot or a human,Be helped by a human rather than a bot-like response.,high,yes,Agent / support experience,intent,bot_vs_human,0.0,107.0,0.048,yes,,,"High confidence. Family: Question whether support is a bot or a human. Signials: size=63, dup=0.0, url_share=0.0476190476190476.","@AmazonHelp well it's a kind offer - but are you an actual human being? Or just another concerned bot? If you are human, you can DM me. Feel free.... ;; @AmazonHelp great response by a bot. ;; @AmazonHelp For an item that was never delivered? Whats your guess? Geez i hate bots...."
20,32,Carrier identification or carrier-specific issue,"State which carrier delivered/shipped, or resolve a carrier-specific delivery problem.",high,yes,Delivery & shipping,intent,delivery_carrier,0.062,140.0,0.062,no,,,"High confidence. Family: Carrier identification or carrier-specific issue. Signials: size=32, dup=0.0625, url_share=0.0625.","@AmazonHelp Intelcom the one who says they are too busy unpacking boxes to deliver mine ;; @AmazonHelp Intelcom. I never heard of them before and read bad reviews on them that are coming true in my situation. When I ordered before, I never had this is ;; @AmazonHelp That link routes me to the US website and I ordered from The Canadian. It was Intelcom which I never heard about before and read bad reviews that ar"
21,56,Promo or verification code not received / redemption failure,"Receive or redeem a code (promo, gift, verification).",medium,yes,Promotions & offers,intent,promo_code,0.0,83.5,0.018,yes,,,"Medium confidence. Family: Promo or verification code not received / redemption failure. Signials: size=56, dup=0.0, url_share=0.0178571428571428.","@AmazonHelp Non sur ordi il me demande le code en plus et je suis co. Mais la a chaque fois faut que je trouve un ordi :( ;; @AmazonHelp so am i going to get my code orrrr? ;; @AmazonHelp So, I did sign in using other methods. But I'd prefer if the temporary code method was available. It's also more secure."
22,122,Issue now resolved / sorted - acknowledgment,Confirm the problem is resolved and close the thread; no further action requested.,high,yes,Conversation closure (artifact),artifact,resolution_thanks,0.0,45.5,0.0,no,,,"High confidence. Family: Issue now resolved / sorted - acknowledgment. Signials: size=122, dup=0.0, url_share=0.0.","@AmazonHelp I've had it sorted thanks ;; @AmazonHelp Seems to have been sorted today. Big thanks to Lesley at Customer Services. ;; @AmazonHelp Thank you for your reply I managed to ring and get it sorted, thank you again :)"
23,92,Stock / CODPIN / pincode availability; item out of stock,Find out why an item cannot be ordered or fulfilled to the customer's location.,high,yes,Shopping & catalogue,intent,stock_availability,0.0,133.5,0.033,yes,,,"High confidence. Family: Stock / CODPIN / pincode availability; item out of stock. Signials: size=92, dup=0.0, url_share=0.0326086956521739.","@AmazonHelp Der Mitarbeiter sagt, dass der Artikel zu 100% nicht mehr kommen wird. Top 😂 ;; @AmazonHelp Merci. Du coup, pour recevoir le bon article, je dois re-commander ? ;; @AmazonHelp Si. Estaba en stock las 3 veces. Lo mismo les informé en un tuit anterior. Es un problema con el artículo seguro, pero deben investigarlo."
24,44,Carrier identification or carrier-specific issue,"State which carrier delivered/shipped, or resolve a carrier-specific delivery problem.",high,yes,Delivery & shipping,intent,delivery_carrier,0.0,149.0,0.114,yes,,,"High confidence. Family: Carrier identification or carrier-specific issue. Signials: size=44, dup=0.0, url_share=0.1136363636363636.","@AmazonHelp Online steht DHL. Habe heute morgen 1 anderes dhl paket schon erhalten. In der Sendungsverfolg. steht nur das. :/ https://t.co/xSyjy0HHgP ;; @AmazonHelp Nach 4 Tagen noch keine Antwort, obwohl Link ausgefüllt. Langt doch wenn DHL unfähig ist Zuzustellen am Abend oder Anliegen intern weiterzuleiten an ;; @AmazonHelp Lt. DHL- Sendungsverfolgung ist das Zeug nämlich schon ausgeliefert seit Stunden. https://t.co/m8TnGNOuid"
25,83,Conversation closure: thank you / acknowledgement,Acknowledge a reply or close the thread politely; no problem still pending is expressed.,high,yes,Conversation closure (artifact),artifact,ack_thanks,0.0,55.0,0.0,yes,,,"High confidence. Family: Conversation closure: thank you / acknowledgement. Signials: size=83, dup=0.0, url_share=0.0.","@AmazonHelp Danke! Dir noch einen schönen Tag.👍😉 ;; @AmazonHelp D'accord merci à vous, bonne fin de journée ;; @AmazonHelp Sweet, will do. I appreciate the quick replies, hope you all have a good day."
26,273,Asking support to check / verify current status,Have support look up and confirm the current state of an order/case/account.,medium,yes,Support progress: waiting / nudge,contextual,status_update_request,0.106,53.0,0.04,yes,MG-09,,"Medium confidence. Family: Asking support to check / verify current status. Signials: size=273, dup=0.1062271062271062, url_share=0.0402930402930402.",@AmazonHelp No update till now! :( ;; @AmazonHelp Yes. It says need to update. ;; @AmazonHelp Still no update from your end!
27,38,Product review removed / review guideline question,Understand why a review was removed or get it restored.,high,yes,Community & reviews,intent,review_q,0.0,104.0,0.053,yes,,,"High confidence. Family: Product review removed / review guideline question. Signials: size=38, dup=0.0, url_share=0.0526315789473684.",@AmazonHelp The reviews did not violate guidelines as far as s I know - can they be retrieved please ;; @AmazonHelp I checked your guidelines.. My review meets ALL the guidelines... so why is not posted? Your credibility is falling ;; @AmazonHelp And I challenge you to show me what in that review doesn't meet your guidelines
28,37,Third-party seller fulfilment / feedback / communication issues,Resolve an order handled by an external (third-party) seller or its carrier.,high,yes,Marketplace & sellers,intent,seller_issue,0.0,108.0,0.027,yes,,,"High confidence. Family: Third-party seller fulfilment / feedback / communication issues. Signials: size=37, dup=0.0, url_share=0.027027027027027.",@AmazonHelp Hey I've got another issue with yet another Chinese seller/store. They are saying they attempted to deliver my package don't there's no..... ;; @AmazonHelp The item options and instructions are not clear and half in Chinese. Some items you can't change from Chinese US. Not a full English. ;; @AmazonHelp It's says China post
29,552,Team not responding / still no reply after contacting support,Get a reply or update from a team that has not answered despite earlier contact.,high,yes,Support progress: waiting / nudge,intent,cs_team_no_response,0.007,117.0,0.034,yes,MG-05,,"High confidence. Family: Team not responding / still no reply after contacting support. Signials: size=552, dup=0.0072463768115942, url_share=0.0344202898550724.",@AmazonHelp Horrible response form your team still unable to solve the Issue....can someone call me on +91 9096377143... ;; @AmazonHelp @283696 Why will we contact them..i have reported to your team..now please contact with the support team and provide the resolution on priority..@28 ;; @AmazonHelp I've contacted your support team everyday 4 d last 3 days &amp; I havn't gt a proper reply since dey tel it'll be delivrd 2moro evry single time
30,205,"Awaiting resolution outcome / case progress (investigation, complaint, case)",Get a concrete resolution or progress update on an open case/complaint/investigation.,high,yes,Support progress: waiting / nudge,intent,resolution_pending,0.0,86.0,0.024,yes,MG-09,,"High confidence. Family: Awaiting resolution outcome / case progress (investigation, complaint, case). Signials: size=205, dup=0.0, url_share=0.024390243902439.",@AmazonHelp can you please check with resolution team what was gone wrong and how many times #disgusting to share info again &amp; again ;; @AmazonHelp What was the resolution? @115851 shame on you ;; @AmazonHelp Don't tell me about future No bdy knws i want 2 have resolution now can you ensure recvry of my loss if you can't then u better shut it up
31,49,Delivery failing around Diwali / festivals (India),Get the promised festive-season delivery honoured or the failed item sorted.,high,yes,Delivery & shipping,intent,delivery_delay,0.0,136.0,0.061,no,,,"High confidence. Family: Delivery failing around Diwali / festivals (India). Signials: size=49, dup=0.0, url_share=0.0612244897959183.",@AmazonHelp Why do we people order on diwali...if you don't get that in your ceos big thick bald skull ...then get the fuck out...it's fucking diwali ;; @AmazonHelp You guys can deliver wrong items but you can't deliver right items before Diwali. #NotAGreatIndianSale 😞😞 cc: @115821 @115850 ;; @AmazonHelp Now I don't need for that product but please improve your shipping and customer service only one reason my diwali not good this year
32,54,India-market frustration / availability feedback (mixed),UNCERTAIN - complains about India support/promises and asks to bring products to India.,medium,uncertain,Sentiment / venting (not a customer goal),sentiment,negative_frustration,0.0,93.0,0.13,no,,,"Medium confidence. Family: India-market frustration / availability feedback (mixed). Signials: size=54, dup=0.0, url_share=0.1296296296296296.","@AmazonHelp Is there anyone NOT in INDIA? IS BEEN 2 DAYS OF LIES ALREADY AND I AM ALREADY REALLY TIRED ABOUT THIS ;; @AmazonHelp @115851 look what you have created in India ;; @AmazonHelp For everything , for each &amp; every city in India.😀"
