priority,priority_reason,candidate_id,model_intent_id,model_intent_name,model_confidence,routing_expectation,ambiguity,ood,taxonomy_verdict,needs_second_opinion,human_review_status,human_decision,human_notes
1,"high-confidence fits, fastest verification",GC-003,ack_thanks,Conversation closure: thank you / acknowledgement,HIGH,auto_ok,false,false,fits,no,already_verified,acknowledgement_/_thanks,
1,"high-confidence fits, fastest verification",GC-006,empathy_farewell,"Conversation closure: empathy / politeness formula (that's sad, have a nice day)",HIGH,auto_ok,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-007,empathy_farewell,"Conversation closure: empathy / politeness formula (that's sad, have a nice day)",HIGH,auto_ok,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-011,delivery_tracking,Package / parcel whereabouts (tracking says X but status unclear),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-013,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-021,delivery_delay,Delivery failing around Diwali / festivals (India),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-022,ack_thanks,Conversation closure: thank you / acknowledgement,HIGH,auto_ok,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-033,template_affirm,Conversation closure: short affirmation answers (yes / it is),HIGH,auto_ok,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-037,refund_request,Refund / compensation request and refund status,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-043,contact_phone_issue,Phone / IVR / callback channel not working,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-050,delivery_carrier,Carrier identification or carrier-specific issue,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-051,refund_request,Refund / compensation request and refund status,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-059,prime_video,Prime Video: streaming / catalogue / subtitles / regional availability,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-060,shipping_speed,Paid-for / Prime delivery speed not honoured (one/two-day/same-day),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-072,cs_team_no_response,Team not responding / still no reply after contacting support,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-079,account_login,Account login / access problems,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-082,ack_thanks,Conversation closure: thank you / acknowledgement,HIGH,auto_ok,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-084,account_login,Account login / access problems,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-086,order_status,Order status / where is my order (order number supplied),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-087,delivery_tracking,Package / parcel whereabouts (tracking says X but status unclear),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-096,order_status,Order status / where is my order (order number supplied),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-099,negative_frustration,Frustration / anger with little or no actionable request,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-100,delivery_tracking,Package / parcel whereabouts (tracking says X but status unclear),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-104,ack_willdo,Conversation closure: commitment to follow the suggested action,HIGH,auto_ok,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-105,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-107,delivery_driver,Delivery driver behaviour complaint (threw package / did not knock / lied / no contact),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-116,shipping_speed,Paid-for / Prime delivery speed not honoured (one/two-day/same-day),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-119,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-125,order_status,Order status / where is my order (order number supplied),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-132,ack_thanks,Conversation closure: thank you / acknowledgement,HIGH,auto_ok,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-136,contact_phone_issue,Phone / IVR / callback channel not working,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-137,delivery_delay,Delivery failing around Diwali / festivals (India),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-144,product_question,Product specification / eligibility question before purchase,HIGH,clarify,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-146,resolution_pending,"Awaiting resolution outcome / case progress (investigation, complaint, case)",HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-147,order_status,Order status / where is my order (order number supplied),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-148,refund_request,Refund / compensation request and refund status,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-155,agent_escalation,Escalation to supervisor / manager / senior team,HIGH,escalate,false,false,fits,no,already_verified,support_representative_escalation_/_inconsistent_support,
1,"high-confidence fits, fastest verification",GC-159,cs_team_no_response,Team not responding / still no reply after contacting support,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-166,fire_tv,"Fire TV Stick issues (control, storage, freezing)",HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-168,negative_frustration,Frustration / anger with little or no actionable request,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-173,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-182,contact_channel,How to reach support (phone number / chat option / email),HIGH,clarify,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-185,cs_team_no_response,Team not responding / still no reply after contacting support,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-187,stock_availability,Stock / CODPIN / pincode availability; item out of stock,HIGH,clarify,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-188,ack_thanks,Conversation closure: thank you / acknowledgement,HIGH,auto_ok,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-190,carrier_unreachable,Carrier not reachable / no tracking number returned,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-191,product_question,Product specification / eligibility question before purchase,HIGH,clarify,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-197,delivery_driver,Delivery driver behaviour complaint (threw package / did not knock / lied / no contact),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-198,delivery_date_change,Delivery date changed repeatedly,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-201,refund_request,Refund / compensation request and refund status,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-202,delivery_driver,Delivery driver behaviour complaint (threw package / did not knock / lied / no contact),HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-203,account_login,Account login / access problems,HIGH,escalate,false,false,fits,no,pending,,
1,"high-confidence fits, fastest verification",GC-204,shipping_speed,Paid-for / Prime delivery speed not honoured (one/two-day/same-day),HIGH,escalate,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-002,agent_escalation,Escalation to supervisor / manager / senior team,MEDIUM,escalate,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-009,ack_thanks,Conversation closure: thank you / acknowledgement,MEDIUM,auto_ok,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-010,resolution_pending,"Awaiting resolution outcome / case progress (investigation, complaint, case)",MEDIUM,escalate,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-019,delivery_delay,Delivery failing around Diwali / festivals (India),MEDIUM,escalate,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-034,link_issue,"Ticket / contact form limitations (closed, no reply option)",MEDIUM,escalate,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-040,refund_request,Refund / compensation request and refund status,MEDIUM,escalate,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-062,delivery_estimate,Asking for delivery / dispatch date or estimate window,MEDIUM,clarify,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-080,negative_frustration,Frustration / anger with little or no actionable request,MEDIUM,escalate,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-095,product_defect,Defective / broken / failing product (incl. warranty),MEDIUM,escalate,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-098,delivery_tracking,Package / parcel whereabouts (tracking says X but status unclear),MEDIUM,escalate,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-128,link_issue,"Ticket / contact form limitations (closed, no reply option)",MEDIUM,escalate,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-130,template_time,Conversation closure: short time/date answers,MEDIUM,auto_ok,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-133,template_neg,Conversation closure: short negation answers (no / not yet / doesn't say),MEDIUM,auto_ok,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-183,link_issue,"Ticket / contact form limitations (closed, no reply option)",MEDIUM,escalate,false,false,fits,no,pending,,
2,"medium confidence, normal review",GC-199,ack_thanks,Conversation closure: thank you / acknowledgement,MEDIUM,auto_ok,false,false,fits,no,pending,,
4,needs second opinion,GC-001,refund_request,Refund / compensation request and refund status,LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-004,shipping_speed,Paid-for / Prime delivery speed not honoured (one/two-day/same-day),LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-005,refund_request,Refund / compensation request and refund status,LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-008,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-014,detail_provided,Already provided the requested details (DM / form / email / screenshots),MEDIUM,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-015,return_process,"Return / return pickup process issues (scheduling, windows)",LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-017,shipping_speed,Paid-for / Prime delivery speed not honoured (one/two-day/same-day),LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-018,detail_provided,Already provided the requested details (DM / form / email / screenshots),LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-020,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-025,detail_provided,Already provided the requested details (DM / form / email / screenshots),LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-026,cs_team_no_response,Team not responding / still no reply after contacting support,LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-029,shipping_speed,Paid-for / Prime delivery speed not honoured (one/two-day/same-day),LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-030,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,LOW,escalate,false,false,fits,yes,pending,,
4,needs second opinion,GC-031,seller_issue,Third-party seller fulfilment / feedback / communication issues,LOW,escalate,false,false,fits,yes,pending,,
