candidate_id,source_episode_id,customer_message_id,conversation_id,customer_text,cluster_id,cluster_family,sampling_reason,embedding_index,cluster_probability,outlier_score,centroid_margin
GC-001,616,616,617,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",-1,noise,noise_near_cluster,0,0.0,0.9098,0.0124
GC-002,619,619,617,"@AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today.",-1,noise,noise_near_cluster,1,0.0,0.9133,0.0361
GC-003,623,623,624,"@AmazonHelp Okay, danke für die Info",52,ack_thanks,common_confident,2,1.0,0.0,0.1531
GC-004,627,627,630,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,-1,noise,noise_near_cluster,3,0.0,0.9404,0.0141
GC-005,654,654,652,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,-1,noise,noise_near_cluster,8,0.0,0.9252,0.0028
GC-006,657,657,659,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",-1,noise,noise_near_cluster,9,0.0,0.9089,0.1266
GC-007,666,666,667,@AmazonHelp Aww your reply made her night!,-1,noise,noise_near_cluster,10,0.0,0.9258,0.1215
GC-008,669,669,672,@AmazonHelp I just said it's been sorted! I've been refunded! I'm just not impressed with the service any more.,-1,noise,noise_near_cluster,11,0.0,0.9395,0.011
GC-009,685,685,690,@AmazonHelp Details sent. Please check.,58,detail_provided,common_confident,12,1.0,0.2393,0.04
GC-010,686,686,690,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,-1,noise,noise_near_cluster,13,0.0,0.9344,0.0331
GC-011,1717,1717,1718,"@AmazonHelp My package just got here. All good, thank you!",195,delivery_tracking,common_confident,22,1.0,0.0,0.1854
GC-012,1735,1735,1736,"@AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.",7,megacluster_unclear,common_confident,29,1.0,0.6806,0.0542
GC-013,21572,21572,21586,@AmazonHelp Be a man of your words and come up with a solution by today. And also I am expecting call from ur management? Is it possible..just disclose it in public forum and I'll take this with consumer court,139,complaint_service_quality,safety_sensitive,675,1.0,0.5203,0.0767
GC-014,28949,28949,28955,@AmazonHelp 9990776470 __email__,-1,noise,short_message,1023,0.0,0.9426,0.0538
GC-015,29537,29537,29533,@AmazonHelp Had notification of 3rd item being refunded. Nothing for remaining 2 items,189,refund_request,common_boundary,1049,0.8604,0.4047,0.0
GC-016,33226,33226,33224,@AmazonHelp Thank you,4,ack_thanks,low_probability_boundary,1169,0.4803,0.5197,0.0
GC-017,69648,69648,69651,@AmazonHelp We have only been told it may be another day or two. I can't plan my working days around Amazon deliveries. Pretty shocked at how late in the day this notification came through as well.,7,megacluster_unclear,common_boundary,2190,1.0,0.005,0.0
GC-018,77398,77398,77403,@AmazonHelp Esses 😍❤️😍❤️ e ameiii. https://t.co/LocWOd81BA,59,detail_provided,split_c59,2650,0.7894,0.613,0.0011
