customer_message_id,conversation_id,created_dt,prev_input,embedding_input,cluster,cos_solo,cos_aug,rank_solo,rank_aug
5158,5159,2017-11-26 00:38:10+00:00,"And adding to the insult is this : eBay,snapdeal, Myntra and flipkart still delivers.",Will you follow me on twitter,42,0.35278357631982715,0.6068760287875546,2.0,1.0
13884,13897,2017-10-31 08:10:12+00:00,"@115851 Now that leaves only one question, should I take a knife or a gun to force @79087 as per unreasonable amazon demands?","why are you removimg @79087 from your tweets? I have official email from @79087 they dont care , they did not sell this product.",42,0.5654086625533125,0.6946813157505037,1.0,1.0
15297,15304,2017-11-01 02:42:24+00:00,I have inked in detail at the given URL...hope to see some useful action,@115851 @115850 @115821 so the social media escalation team is equally useless as the customer service team...hats off to incompetence,42,0.47014800207313245,0.6919737377843468,1.0,1.0
16865,16882,2017-10-19 04:26:01+00:00,Order id-407-2808023-6902735 Mails already done,U people only do tweets...not a single call n concerns raised by u...even your pickup guy was not ready to collect the Blasted item https://t.co/RB7dp22oxe,42,0.4188421703376118,0.5030577806688629,2.0,3.0
16849,16882,2017-10-20 19:36:42+00:00,Great response by Amazon.... compensation of 500 INR...no legal action against seller & brand #JeffBezos https://t.co/JmwhiGX814,Not satisfied,115,0.4010145522255136,0.6523138366893655,2.0,1.0
17200,17216,2017-11-02 08:34:40+00:00,I will not contact ur supoort team.,Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept,-1,0.6506831426751624,0.745799506512397,1.0,1.0
2433664,19137,2017-10-29 13:58:31+00:00,Hope so i will be lucky winner and last thing i want to know after playing quiz it is necessary to tweet about the same or not,But i didnt tweet about the same is it ok or it is necessary,42,0.3636758098110501,0.35402296133245537,1.0,1.0
2166639,19137,2017-11-09 10:01:31+00:00,No problem sir if you will not solve my problem then i will go to the media,Now i want the justice inough is enough,-1,0.3360786074346208,0.5042708198492178,1.0,1.0
21078,21079,2017-11-02 08:11:11+00:00,I can’t change my settings every time the baby goes to sleep! Ridiculous,"And he left it on the doorstep anyway, after creating merry hell",-1,0.1126993711130499,0.8821096705369509,13.0,1.0
21931,21941,2017-10-27 02:31:38+00:00,what should i do now ? just forget it ???,Have you gone deeper into the issue or it's just an automated instant reply over Twitter?? @115851,42,0.4236941546535855,0.48847012826054803,1.0,1.0
29977,29975,2017-11-01 11:54:08+00:00,Not using 'app' using desk top & your webpage - leaves lot 2 be desired,"How? Have tried via rubbish website, emailed given up on order & now playing Twitter",42,0.3787585523623457,0.49551344761505034,2.0,1.0
34550,34558,2017-11-01 13:12:37+00:00,Order is dispatched yet Prime not activated.,Not yet....,116,0.2972835726340209,0.7166975274033561,3.0,1.0
2785951,35857,2017-11-27 00:56:52+00:00,Gracias ! https://t.co/omIcjXM4d0,Entonces no la tienen ¿verdad?,115,0.3182233462633532,0.6162928801468486,3.0,2.0
40381,40377,2017-11-01 15:46:07+00:00,Didn't say anything.,"No, I do t see anything.",115,0.3029134105192933,0.4810172250472323,2.0,2.0
42477,42479,2017-11-01 20:37:46+00:00,I talked to some “Pramod” that told me I’d have my money back in a hour and I never got it,Nothing at all.,115,0.024827842066511063,0.7062251872808083,13.0,1.0
641733,52171,2017-11-22 20:49:25+00:00,El dia de hoy,No ninguno,115,0.23598453433041539,0.40690245308911444,3.0,1.0
64197,64214,2017-11-30 12:59:59+00:00,"I need some from a UK call centre to call me, I am getting nowhere with customer service. Can somebody arrange this for me please?",Are you unable to look through this thread of tweets? Why is the customer service so bad. Is a joke?,42,0.3987498990051983,0.6942420445047768,1.0,1.0
479392,65879,2017-12-01 13:22:55+00:00,its already been collected by my friend . so no worries.. Just make sure that ur agents dont create their own rules,Yes sure,125,0.017504527375699394,0.8395550769644372,19.0,1.0
69271,69267,2017-11-23 07:24:15+00:00,"no, it's the main US version, and I'm accessing prime video on my Roku","I haven't, I'll try and get back to you",114,0.15638509578244564,0.7959569243420817,20.0,1.0
74728,74740,2017-11-24 19:08:24+00:00,Oh que oui ! Ils ont vraiment bien travaillé sur ce dernier jeu !,Bien sûr !,125,0.3771822850606907,0.43481146853863706,1.0,1.0
74701,74740,2017-12-02 17:31:09+00:00,"Bah y'a pas l'option "" vous m'avez envoyer une commande que je vous ai demandé d'annuler "" 🤬",Vous avez regardé mes tweets précédents avec vos collègues ? J'ai demandé à faire annuler la commande et ensuite vous m'avez envoyé une partie de la commande et maintenant je me retrouve coincé parce que j'ai une partie de la commande et l'autre partie est toujours chez vous,42,0.5937771795031386,0.5842692777420185,1.0,1.0
76075,76078,2017-11-29 23:35:10+00:00,"Tbh it’s not the delay that bugs me. Things happen. It’s the fact that they literally showed up, realized it wasn’t on the truck, then left without telling me. Meanwhile, I’m just sitting here like a kid waiting to go fishing. Why am I the one who has to chase this down?",So still nothing.,117,0.2781783336832862,0.6987726322111667,1.0,1.0
