sample_id,corpus_row,script,lenbin,customer_message_id,conversation_id,created_dt,text
C7-000,280,latin_plain,short,14854,14855,2017-11-04 18:42:09+00:00,@AmazonHelp that time u people asking tracking parcel details.
C7-001,565,latin_plain,mid,20443,20468,2017-11-01 06:32:31+00:00,@AmazonHelp How many more long time I will wait for solution...?? I am not able to call contact with Amazon care
C7-002,813,latin_plain,long,24569,24573,2017-11-01 09:19:25+00:00,"@AmazonHelp Really? I pay annual Prime membership for you to tell me that an international publisher will have the answers to why YOU have the book in Home &amp; Kitchen, YOU are sending people to The Works, and YOU don't even have an 'awaiting stock' notice up?"
C7-003,839,latin_plain,mid,25015,25013,2017-11-03 07:42:49+00:00,@AmazonHelp Amazon is just making me fool from last 10 days ...is there any system
C7-004,1311,latin_plain,mid,36594,36582,2017-11-07 10:59:57+00:00,"@AmazonHelp @115850 Sick of your post sales services., Decide to uninstall Amazon. And no more shopping from Amazon India. Pathetic service level.."
C7-005,2495,latin_plain,long,74772,74757,2017-11-30 11:09:27+00:00,"@AmazonHelp Deprioritized? How about ""neutralized."" I don't ever want you to use Amazon Logistics for me. It's a nightmare. I'm not paying Prime to have my packages delivered by my local pizza delivery guy. I wouldn't trust these people with breadsticks, let alone my Amazon purchases.."
C7-006,4244,latin_plain,short,120250,120252,2017-11-23 22:46:15+00:00,@AmazonHelp From Amazon ordered back in August 😠
C7-007,4282,latin_plain,long,121970,121972,2017-11-24 00:09:17+00:00,"@AmazonHelp Por Amazon Logistics, me dicen que ya mero pero no lo han reprogramado. No quiero trato preferente pero por algo pague prime para recibir mis pedidos al día siguiente o si no lo puedo recibir una reentrega al otro día :("
C7-008,5107,latin_plain,mid,135110,135124,2017-11-20 07:36:45+00:00,@AmazonHelp Sir its 1 Month (30 Days ) with no proper support. Still following up. Thanks :) #WorstTeam #WorstSupport #Amazonpaybalance #wasteOfTime
C7-009,5195,latin_plain,short,136974,136972,2017-11-24 11:39:11+00:00,@AmazonHelp That is why i tweeted AmazonUK
C7-010,5272,latin_acc,mid,138150,138151,2017-12-03 15:45:39+00:00,@AmazonHelp Habe heute Spiderman Homecoming über Amazon Video ausgeliehen und kein Gutschein wurde mir abgezogen. Ich fühl mich ein wenig verarscht.
C7-011,5789,latin_plain,mid,147370,147371,2017-11-24 14:17:26+00:00,"@AmazonHelp 🙌🏽🙌🏽Amazon For The Win! No, it’s not late. I’m just anxiously waiting! I’ll be sure to message you if I have any issues! Thanks for being soooo alert!!!"
C7-012,5808,latin_plain,mid,149134,149135,2017-11-24 15:16:23+00:00,@AmazonHelp No....I...I just need to mend my iron Mr Amazon. https://t.co/E3TCOSuQyz
C7-013,6246,latin_acc,short,162039,162040,2017-11-24 19:05:38+00:00,@AmazonHelp Et si je souhaite arrêter amazon prime ?
C7-014,8038,latin_plain,mid,205090,205092,2017-10-04 23:27:04+00:00,"@AmazonHelp Lost my apps on my tablet..reload Amazon and Kindle, can sign into Amazon but not Kindle!!"
C7-015,8603,latin_acc,mid,222395,222399,2017-11-15 15:27:01+00:00,"@AmazonHelp Par Amazon, c'est le livre ""Alice's Adventures in Wonderland"" si ça peut aider"
C7-016,9520,latin_plain,mid,234214,234220,2017-09-14 11:08:59+00:00,@AmazonHelp you guys are back to your dirty tricks..this shoe does not exist on amazon.in. the link takes you to a different shoe which is 7000 shame https://t.co/lKyjZ2KiRJ
C7-017,9694,latin_acc,mid,236679,236670,2017-10-06 16:43:12+00:00,@AmazonHelp 4/5 promesse 4 de #amazon : me répondre asap à ma 7eme relance de la semaine = non tenue
C7-018,9886,latin_plain,mid,238951,238959,2017-09-25 11:56:08+00:00,@AmazonHelp @115821 #Amazon #Need-help: I have sent you details on the link shared. Please revert
C7-019,11424,latin_plain,short,277131,277139,2017-10-14 13:52:23+00:00,@AmazonHelp It has been refunded now to my amazon account
C7-020,11593,latin_plain,mid,279373,279455,2017-10-09 23:10:27+00:00,"@AmazonHelp Last email which I recvd. Bt I recvd call frm 074079 33775 n sed tht amazon nid 2 verify the Acct detail n asked the card info, bt I denied https://t.co/aSDeEztplN"
C7-021,12035,latin_acc,mid,284000,283997,2017-10-06 13:53:34+00:00,@AmazonHelp Je n'arrive pas à trouvé le numéro de téléphone du support amazon ça me mais que c'est pas le bon x)
C7-022,12246,latin_plain,mid,287907,287909,2017-09-27 13:16:07+00:00,"@AmazonHelp @115850 , Tried all the way to contact you guys.. Any update so far? #AmazonHaiTaiyyar #WhereIsMyPacket"
C7-023,12334,latin_acc,mid,288215,288218,2017-10-11 09:26:35+00:00,@AmazonHelp J’ai fais 2 demandes de remboursement. Celle de l’article vendu par Amazon a été prise en compte. Par contre celle de l’article vendu par
C7-024,12377,latin_plain,mid,288640,288642,2017-11-25 03:34:20+00:00,@AmazonHelp Can’t track the second package because the shipping company website says they haven’t received anything with the tracking number the amazon website provided
C7-025,12679,latin_plain,mid,294862,294863,2017-10-06 17:50:51+00:00,"@AmazonHelp Hi! I've not, I wasn't sure if to contact Amazon or Hermes. I'll email them and ask, cheers!"
C7-026,13515,latin_plain,short,314059,314060,2017-10-07 06:17:41+00:00,"@AmazonHelp Helpful, @AmazonHelp - not"
C7-027,13553,latin_plain,short,314515,314516,2017-10-07 13:31:39+00:00,@AmazonHelp I sent an inquiry through the amazon app. Hope to hear back soon!
C7-028,14161,latin_plain,mid,321342,321344,2017-10-07 13:17:14+00:00,@AmazonHelp @192557 Ordered Chromecast from Amazon.in @115850 got duplicate item using Google Chromecast pic and brand name for selling
C7-029,14286,latin_plain,mid,323309,323304,2017-10-11 04:53:49+00:00,"@AmazonHelp #AmazonShameOnYou this is 5th time in a row pickup has been reschedule any proper reason or intimation ,u guys cant handle 1small task .thu"
C7-030,15988,latin_plain,mid,354669,354673,2017-10-31 02:01:36+00:00,"@AmazonHelp AMAZON. I saw the truck, the driver scan the packages and left. Didnt bother to go to the door"
C7-031,16219,latin_plain,mid,360715,360730,2017-10-09 13:35:18+00:00,@AmazonHelp When u wl get back to me..its already 2 month over.. @AmazonHelp @115851
C7-032,16773,latin_plain,short,379005,379006,2017-10-09 13:09:01+00:00,@AmazonHelp It's 2 pieces Fastrack wrist band. Very poor service by @AmazonHelp
C7-033,18550,latin_plain,mid,418425,418427,2017-10-10 04:39:14+00:00,@AmazonHelp I ordered some stuff from Amazon and it showed that it will be sent by fedex today but i didn't receive any call from fedex but a text shown
C7-034,19370,latin_plain,short,428322,428323,2017-10-10 13:43:10+00:00,"@AmazonHelp now, i am now sure that Amazon is not for Indian People..."
C7-035,19577,latin_acc,mid,431107,431109,2017-10-10 15:07:47+00:00,"@AmazonHelp Non , c'est ma première commande sur Amazon, je ne sais pas comment faire (:"
C7-036,20008,latin_plain,mid,438658,438653,2017-10-10 19:31:43+00:00,"@AmazonHelp @219235 But she has Amazon Prime, which should gurantee delivery within 24 hours."
