customer_message_id,conversation_id,created_dt,prev_input,embedding_input,cluster
5158,5159,2017-11-26 00:38:10+00:00,"And adding to the insult is this : eBay,snapdeal, Myntra and flipkart still delivers.",Will you follow me on twitter,42
13884,13897,2017-10-31 08:10:12+00:00,"@115851 Now that leaves only one question, should I take a knife or a gun to force @79087 as per unreasonable amazon demands?","why are you removimg @79087 from your tweets? I have official email from @79087 they dont care , they did not sell this product.",42
15297,15304,2017-11-01 02:42:24+00:00,I have inked in detail at the given URL...hope to see some useful action,@115851 @115850 @115821 so the social media escalation team is equally useless as the customer service team...hats off to incompetence,42
16865,16882,2017-10-19 04:26:01+00:00,Order id-407-2808023-6902735 Mails already done,U people only do tweets...not a single call n concerns raised by u...even your pickup guy was not ready to collect the Blasted item https://t.co/RB7dp22oxe,42
16849,16882,2017-10-20 19:36:42+00:00,Great response by Amazon.... compensation of 500 INR...no legal action against seller & brand #JeffBezos https://t.co/JmwhiGX814,Not satisfied,115
17200,17216,2017-11-02 08:34:40+00:00,I will not contact ur supoort team.,Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept,-1
2433664,19137,2017-10-29 13:58:31+00:00,Hope so i will be lucky winner and last thing i want to know after playing quiz it is necessary to tweet about the same or not,But i didnt tweet about the same is it ok or it is necessary,42
2166639,19137,2017-11-09 10:01:31+00:00,No problem sir if you will not solve my problem then i will go to the media,Now i want the justice inough is enough,-1
21078,21079,2017-11-02 08:11:11+00:00,I can’t change my settings every time the baby goes to sleep! Ridiculous,"And he left it on the doorstep anyway, after creating merry hell",-1
21931,21941,2017-10-27 02:31:38+00:00,what should i do now ? just forget it ???,Have you gone deeper into the issue or it's just an automated instant reply over Twitter?? @115851,42
29977,29975,2017-11-01 11:54:08+00:00,Not using 'app' using desk top & your webpage - leaves lot 2 be desired,"How? Have tried via rubbish website, emailed given up on order & now playing Twitter",42
34550,34558,2017-11-01 13:12:37+00:00,Order is dispatched yet Prime not activated.,Not yet....,116
2785951,35857,2017-11-27 00:56:52+00:00,Gracias ! https://t.co/omIcjXM4d0,Entonces no la tienen ¿verdad?,115
40381,40377,2017-11-01 15:46:07+00:00,Didn't say anything.,"No, I do t see anything.",115
42477,42479,2017-11-01 20:37:46+00:00,I talked to some “Pramod” that told me I’d have my money back in a hour and I never got it,Nothing at all.,115
641733,52171,2017-11-22 20:49:25+00:00,El dia de hoy,No ninguno,115
64197,64214,2017-11-30 12:59:59+00:00,"I need some from a UK call centre to call me, I am getting nowhere with customer service. Can somebody arrange this for me please?",Are you unable to look through this thread of tweets? Why is the customer service so bad. Is a joke?,42
479392,65879,2017-12-01 13:22:55+00:00,its already been collected by my friend . so no worries.. Just make sure that ur agents dont create their own rules,Yes sure,125
69271,69267,2017-11-23 07:24:15+00:00,"no, it's the main US version, and I'm accessing prime video on my Roku","I haven't, I'll try and get back to you",114
74728,74740,2017-11-24 19:08:24+00:00,Oh que oui ! Ils ont vraiment bien travaillé sur ce dernier jeu !,Bien sûr !,125
74701,74740,2017-12-02 17:31:09+00:00,"Bah y'a pas l'option "" vous m'avez envoyer une commande que je vous ai demandé d'annuler "" 🤬",Vous avez regardé mes tweets précédents avec vos collègues ? J'ai demandé à faire annuler la commande et ensuite vous m'avez envoyé une partie de la commande et maintenant je me retrouve coincé parce que j'ai une partie de la commande et l'autre partie est toujours chez vous,42
76075,76078,2017-11-29 23:35:10+00:00,"Tbh it’s not the delay that bugs me. Things happen. It’s the fact that they literally showed up, realized it wasn’t on the truck, then left without telling me. Meanwhile, I’m just sitting here like a kid waiting to go fishing. Why am I the one who has to chase this down?",So still nothing.,117
77349,77343,2017-12-01 16:40:17+00:00,How many times I have to give my details. Case is alrdy open with ur support team. Atleast kuch toh kaam karo. I m not here to spoon feed u. Disgusting @115850,Wow...then why this Twitter Handle is created. Alrdy provided all the details to ur support team Upto u if u wanna help and try to solve my issues beyond ur boundaries https://t.co/oNpFViH8ME,42
77598,77617,2017-11-30 18:35:31+00:00,You DUMB people. Did you understand the FACT. I am still in trouble... Because your FE will ask for the Pickup of Origi al order.. Is not ?? After 5 days.. we will on the same page. Mr. @115851 what is going on. Mr. @5339 if u still there #ShameforAmazon,"Oh GOD ! again link, fill up and will get the copy-paste emails.. Even I am telling you the FACTS about the possibilities. What you guys doing there ? @115850 paying you, for what.. Its mystery. @115851 @115821 @5339 #ShameOnYouAmazon",-1
78793,78803,2017-11-29 16:44:57+00:00,sie brauchen nur die früheren tweets zu verfolgen 71332205299377,"Ich habe meine Sendungsnummer getwittert, es wäre Kundenservice, wenn Sie sich darum kümmern ;)",42
80573,80563,2017-11-30 15:44:31+00:00,It won’t let me fill it out. I can’t get the URL for some reason. I’m on the APP,I can fill it out but it asks for the Twitter url and I can’t get that so it won’t let me submit it,42
80579,80563,2017-12-02 13:03:01+00:00,I have not been called yet...,Still nothing,117
83380,83366,2017-12-02 11:21:13+00:00,Your customer executive was extremely rude and kept on insulting and disconnected the call when I told her to provide me whatever confirmation she is giving me on call in written. Why are you guys so afraid to give something in written? Fraudsters !!!,Leave it you guys have all ganged up. I am going to circulate that audio in social media. That is all. People should know how you people behave with them.,42
91362,91376,2017-11-29 16:45:43+00:00,Enfaite quoi qu’on vous demande il faut patienté même quand les délais d’attente prévue est dépasser.,"Toujours rien, normal?",115
93537,93543,2017-11-30 15:25:16+00:00,Can you please just answer my question? Yes you missed the delivery date. Its become a pattern. Do you have a link to the official 2 day shipping policy for Prime members?,Latest example. Yes this is a Prime item. https://t.co/aBIOp7d9CY,-1
107319,107323,2017-11-30 20:45:04+00:00,I finally was able to get a number for a corporate employee In Washington state whom provided me a refund after days of empty promises and unfulfilled guarantees. I am still not happy with the several wasted days and plan to finish my holiday shopping with other vendors,"I could not possibly explain in the small space provided by twitter, but I fully intend on utilizing social networks to get my story out.",42
122011,122000,2017-11-24 09:26:24+00:00,Your customer service can’t seem to answer my question when I have asked it the guts of 20 times,I have and they didn’t,114
158797,122726,2017-11-25 00:46:07+00:00,"Request give me address of delivery service I will get it collected in Jhansi,I am fed up now",My tweets are after reading your reply,42
127387,127386,2017-11-24 08:39:30+00:00,Which is India's No.1 smartphone?,Who are you sorry to?? You'll have to be twice as sorry now you've mucked up the tweet!,42
128079,128087,2017-11-20 02:30:11+00:00,"Lol.. being an online retail company in digital age what Ur replying shows the allure of devil to perform in dark..if u can reply me apologize me in this platform why not solve here haha...Ask me anything here, I 'll provide all d details.@115851 @120844 @127586 @4211",Why Twitter has banned you? Or you are apprehensive lol @115850 @115851 @120844 @127586 @4211 @144772 @144778 @144773 @144777 #digitalmafia @115821 @117634 @115830 @116935 @1404,42
128070,128087,2017-11-23 07:05:36+00:00,Euphemistically stupidity https://t.co/OPQA3k4yWS,I m damned sure D's tym also @115821 will act filthy #digitalmafia @115850 @116618 @116935 @115830 @117634 @115851 @120844 @127586 @144772 @4871 @144773 @144771 @4211 @144769 https://t.co/xPJ3qdGX0Y,-1
130257,130255,2017-11-24 07:26:58+00:00,But what was the problem?,There’s nothing there,115
132345,132348,2017-11-24 15:12:13+00:00,Done that - order details don’t specify who the courier is,No and no,115
132463,132467,2017-11-24 08:31:02+00:00,"Hi. Twice to say on its way, after second time another one to say had been sent to wrong depot, then email re refund. On frist attempt everything else ordered did arrive.",Hi. No I haven't. I'm a bit lazy- Twitter is always quicker...,42
132527,132518,2017-11-25 08:58:36+00:00,Need for speed payback et star wars battlefront 2 sur ps4,Ben non. C’est à vous de me dire pourquoi ce code ne marche pas,115
134812,134816,2017-11-24 09:04:47+00:00,I have still not had a reply from your team since using the link above,Yes. Nothing.,115
136254,136252,2017-11-24 17:39:16+00:00,"Die Informationen stecken alle im Tweet selbst. Koordinaten sind im Tweet. Uhrzeit ist auch im Tweet. -3 Minuten fürs schreiben vielleicht. Falls ihr das in @146704 Lösung nicht seht, dann eventuell ein Feature request wert. https://t.co/HehF2f2ujJ","Hätte ich nicht „helfen“ wollen, hätte ich den Tweet nicht geschrieben. Nur mache ich Dinge ungern mehr als 1x",42
140058,140068,2017-11-24 14:30:40+00:00,A priori le message que j’ai envoyé il y a 2 jours s’est perdu (je n’ai même pas reçu de confirmation en effet). J’en repasse un à l’instant. J’ai bien une confirmation de réception. Attendons…,Et bien on ne m'a pas répondu à propos de votre engament sur Twitter que ça ne se reproduise plus. Seulement un bon d'achat de 5 euros 🙄 https://t.co/oWKmPUeaQ5,42
140999,140994,2017-11-24 12:43:48+00:00,"The original order delivery date for the bracket was the 21st, it was then reordered via customer service for delivery today .... it hasn’t even yet left the warehouse",I believe my dad has been trying to talk directly to customer service and even tried emailing the CEO but is not satisfied ... I volunteered to tweet as he doesn’t ... until the tweet at the beginning of the thread,42
2721782,141067,2017-11-21 08:27:28+00:00,Whats the update??,I hv already updated on the given link yesterday,-1
142932,142930,2017-11-24 13:34:43+00:00,Pues que llevo desde las ocho y media de la mañana intentndo colgar un libro. Y es imposible.,Perdone usted pero ¿ puedo hablar con una persona humana por teléfono y no con un bot? Twitter no es el medio.,42
153723,153727,2017-11-24 16:12:14+00:00,When can I expect the email? Thanks!,Still nothing 😕,117
155179,155185,2017-11-24 17:26:31+00:00,"Yes. I was confirmed 2 day shipping via Prime, but it arrived in 5 days.",Not yet. How do I do that?,116
156684,156690,2017-11-24 17:41:22+00:00,"sur Amazon il est ecrit ""Colis envoyé au transporteur, en transit."" et sur le site du transporteur qui est Colis Privé c'est ecrit ""Votre colis a été expédié par votre webmarchand, mais n a pas encore été pris en charge par Colis Privé""",non ne sachant plus comment contacter le SAV je suis passer par twitter,42
156729,156732,2017-11-26 08:55:29+00:00,Yes but as it’s from October it won’t let me,Can you read the other tweets or not?,42
2104278,158832,2017-11-08 14:35:19+00:00,Thanks :),I wonder what's wrong with you people but you do not feel ashamed of what you want You people will openly oppose you on social media when you feel like you are asking me for a month from you. Here are the troubles here. Write trouble here but my problem is not solved.,42
179204,179218,2017-10-04 14:00:46+00:00,"I just rang the number you sent me in the email “This number is no longer in use” - get a grip Amazon, your systems are broke!!!",I used the link in your tweet - lead me to a log in page - I CANT LOG IN - is that loud enough?,42
179207,179218,2017-10-04 21:57:27+00:00,I used the link in your tweet - lead me to a log in page - I CANT LOG IN - is that loud enough?,"Still looking, nothing yet!",117
179210,179218,2017-10-05 07:09:09+00:00,Still looking - no new emails from Amazon,Read the previous tweets - I can’t log in! This has been going on for a day now!!!,42
179523,179526,2017-10-04 15:41:00+00:00,Hope the 48 hours means the 48 hours only this time..not more than that @115850,@158284 Why your consumers have to take it to social media to resolve petty issues? Had the team done it's job...why this public embarrassment??,42
237733,179526,2017-10-08 06:50:48+00:00,I think this 4 days back mail you are talking of?? Already replied boss https://t.co/rgMlXQUGSi,I am giving unnecessary justification.. Instead of tweeting#faketweet better to focus on the cashback,42
237763,179526,2017-10-09 13:17:22+00:00,I am hearing the same thing from such a long time. Don't you think so that you are harrassing your customer? What's a reason of taking tym?,Answer to my questions I sent on mail to Shruthee.. the social media escalation team member.,42
179678,179685,2017-10-04 11:31:38+00:00,Cada vez que enviáis un no-reply mail augmentan mis ganas de dar de baja mi cuenta #epicfail,Sí Lo es,124
179894,179899,2017-10-04 10:39:13+00:00,"Je vous ai donné toutes les infos, vous ne voulez pas que je livre moi même ?",Déjà fait sans succès. Mais vous servez à quoi au juste sur Tweeter ? Si ce n'est que vous afficher,42
182932,179935,2017-10-05 17:17:22+00:00,No emails yet!,Nope...nothing there either,115
180802,180859,2017-10-05 18:46:17+00:00,Yeah I've requested @115851 to do needful. Let me know if you didn't heard from him.,Oh I know past 100 people said the same but after providing all the details I got only sorry @115851 knows that I guess if he read tweet,42
180906,180913,2017-10-04 12:59:16+00:00,"I doubt you can help. We had 3 conversations last time, just assurances",even the form looks intimidating. When you ask phone# why is the URL to twitter message needed. Can you PM,42
181204,181216,2017-11-25 01:57:07+00:00,The other person in my Amazon Household (my other half) isn’t able to use my prime benefits and is no longer showing as part of my household on their account. But is on mine. But your 180 rule means I can’t delete him and re add.,"I’ve tried that already. That’s what my original tweet was complaining about? I asked her to speak to someone else and she said I’d get told the same by anyone else there. But she never actually told me anything that made any sense (she was lovely and polite though, just no help)",42
182557,182562,2017-10-04 16:41:30+00:00,"Yeah! Your support team is very busy, they r on there toes for getting the product delivered by the evening. THEY ASSURED THIS EVERYDAY.",And do you really think that someone would post to Twitter before contacting customer care multiple times.,42
183017,183025,2017-10-04 17:44:51+00:00,Faux ! Il s’agit de 3 livres 😁,Non ! Vous n’êtes très bon comme voyant 😉,-1
189242,189248,2017-10-04 20:39:17+00:00,How would I know that I bought it from amazon,It doesn’t say,115
191538,191534,2017-10-06 03:33:58+00:00,I emailed them and they gave me Patch SellerOrderId and ShipTrack but it is not under my orders and i dont know how to look it up,no they did not,115
191770,191780,2017-10-05 21:43:50+00:00,@161066 you are blantantly lying just as ea did if we didnt preorder before oct 1st we dont get early beta so i hope someone sues the shit out of u,Still nothing,117
222875,197677,2017-10-05 12:26:03+00:00,I just trusted amazon and i downloaded the apps oh man,"Genuine offers, u only gave the offer of free mobile but now",-1
