candidate_id,model_suggestion,suggested_intent_id,suggested_intent_name,primary_goal,routing_expectation,escalation_reason,response_requirements,ambiguity,ood,taxonomy_verdict,taxonomy_notes,entities,needs_second_opinion,confidence,decision_summary,why,alternatives,human_check,generated_at,status
GC-001,refund_request,refund_request,Refund / compensation request and refund status,"DRAFT (verify): Refund / compensation request and refund status — customer wrote: '@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day'",escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from refund_request; margin=0.012, sim=0.659. Human must confirm/correct. Cluster=noise. Low-margin: alternatives close; review required. ",0,yes,LOW,Model-draft suggests refund_request; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day'. Model suggestion refund_request (sim=0.659, margin=0.012) is NOT ground truth. Cluster family=noise sampling=noise_near_cluster. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","cancel_order (sim=0.647, Cancel an order / re-order); delivery_delay (sim=0.623, Delivery failing around Diwali / festivals (India)); delivery_tracking (sim=0.62, Package / parcel whereabouts (tracking says X but status unclear))","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent refund_request; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:15.481617+00:00,model_recommendation
GC-002,agent_escalation,agent_escalation,Escalation to supervisor / manager / senior team,"DRAFT (verify): Escalation to supervisor / manager / senior team — customer wrote: '@AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today.'",escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from agent_escalation; margin=0.036, sim=0.601. Human must confirm/correct. Cluster=noise. ",0,no,MEDIUM,Model-draft suggests agent_escalation; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today.'. Model suggestion agent_escalation (sim=0.601, margin=0.036) is NOT ground truth. Cluster family=noise sampling=noise_near_cluster. Priors considered (1): '@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, '. Historical reply treated as evidence only, not the answer.","complaint_service_quality (sim=0.564, Regional (ES/FR) delivery & support quality complaints); negative_frustration (sim=0.526, Frustration / anger with little or no actionable request); contact_phone_issue (sim=0.526, Phone / IVR / callback channel not working)","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent agent_escalation; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:15.491227+00:00,model_recommendation
GC-003,ack_thanks,ack_thanks,Conversation closure: thank you / acknowledgement,"DRAFT (verify): Conversation closure: thank you / acknowledgement — customer wrote: '@AmazonHelp Okay, danke für die Info'",auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,false,false,fits,"Model-draft from ack_thanks; margin=0.153, sim=0.937. Human must confirm/correct. Cluster=ack_thanks. ",0,no,HIGH,Model-draft suggests ack_thanks; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Okay, danke für die Info'. Model suggestion ack_thanks (sim=0.937, margin=0.153) is NOT ground truth. Cluster family=ack_thanks sampling=common_confident. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","ack_willdo (sim=0.67, Conversation closure: commitment to follow the suggested action); resolution_thanks (sim=0.659, Issue now resolved / sorted - acknowledgment); detail_provided (sim=0.641, Already provided the requested details (DM / form / email / screenshots))","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent ack_thanks; confirm routing auto_ok; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:15.491870+00:00,model_recommendation
GC-004,shipping_speed,shipping_speed,Paid-for / Prime delivery speed not honoured (one/two-day/same-day),DRAFT (verify): Paid-for / Prime delivery speed not honoured (one/two-day/same-day) — customer wrote: '@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August',escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from shipping_speed; margin=0.014, sim=0.635. Human must confirm/correct. Cluster=noise. Low-margin: alternatives close; review required. ",0,yes,LOW,Model-draft suggests shipping_speed; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August'. Model suggestion shipping_speed (sim=0.635, margin=0.014) is NOT ground truth. Cluster family=noise sampling=noise_near_cluster. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","delivery_delay (sim=0.621, Delivery failing around Diwali / festivals (India)); not_dispatched (sim=0.601, Order not yet dispatched / dispatch status); delivery_tracking (sim=0.591, Package / parcel whereabouts (tracking says X but status unclear))","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent shipping_speed; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:15.492322+00:00,model_recommendation
GC-005,refund_request,refund_request,Refund / compensation request and refund status,DRAFT (verify): Refund / compensation request and refund status — customer wrote: '@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645',escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from refund_request; margin=0.003, sim=0.713. Human must confirm/correct. Cluster=noise. Low-margin: alternatives close; review required. ",0,yes,LOW,Model-draft suggests refund_request; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645'. Model suggestion refund_request (sim=0.713, margin=0.003) is NOT ground truth. Cluster family=noise sampling=noise_near_cluster. Priors considered (1): '@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my s'. Historical reply treated as evidence only, not the answer.","return_process (sim=0.71, Return / return pickup process issues (scheduling, windows)); delivery_carrier (sim=0.661, Carrier identification or carrier-specific issue); order_status (sim=0.656, Order status / where is my order (order number supplied))","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent refund_request; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:15.492649+00:00,model_recommendation
GC-006,empathy_farewell,empathy_farewell,"Conversation closure: empathy / politeness formula (that's sad, have a nice day)","DRAFT (verify): Conversation closure: empathy / politeness formula (that's sad, have a nice day) — customer wrote: '@AmazonHelp Already handled, just venting. It was a pretty big bummer.'",auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,false,false,fits,"Model-draft from empathy_farewell; margin=0.127, sim=0.623. Human must confirm/correct. Cluster=noise. ",0,no,HIGH,Model-draft suggests empathy_farewell; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Already handled, just venting. It was a pretty big bummer.'. Model suggestion empathy_farewell (sim=0.623, margin=0.127) is NOT ground truth. Cluster family=noise sampling=noise_near_cluster. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","negative_frustration (sim=0.496, Frustration / anger with little or no actionable request); complaint_service_quality (sim=0.403, Regional (ES/FR) delivery & support quality complaints); resolution_thanks (sim=0.386, Issue now resolved / sorted - acknowledgment)","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent empathy_farewell; confirm routing auto_ok; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.566582+00:00,model_recommendation
GC-007,empathy_farewell,empathy_farewell,"Conversation closure: empathy / politeness formula (that's sad, have a nice day)","DRAFT (verify): Conversation closure: empathy / politeness formula (that's sad, have a nice day) — customer wrote: '@AmazonHelp Aww your reply made her night!'",auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,false,false,fits,"Model-draft from empathy_farewell; margin=0.122, sim=0.54. Human must confirm/correct. Cluster=noise. ",0,no,HIGH,Model-draft suggests empathy_farewell; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Aww your reply made her night!'. Model suggestion empathy_farewell (sim=0.54, margin=0.122) is NOT ground truth. Cluster family=noise sampling=noise_near_cluster. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","off_topic_chat (sim=0.419, Social / @-mention chatter (ambiguous, multilingual)); negative_frustration (sim=0.403, Frustration / anger with little or no actionable request); detail_provided (sim=0.401, Already provided the requested details (DM / form / email / screenshots))","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent empathy_farewell; confirm routing auto_ok; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.567274+00:00,model_recommendation
GC-008,complaint_service_quality,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,DRAFT (verify): Regional (ES/FR) delivery & support quality complaints — customer wrote: '@AmazonHelp I just said it's been sorted! I've been refunded! I'm just not impressed with the service any more.',escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from complaint_service_quality; margin=0.011, sim=0.65. Human must confirm/correct. Cluster=noise. Low-margin: alternatives close; review required. ",0,yes,LOW,Model-draft suggests complaint_service_quality; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp I just said it's been sorted! I've been refunded! I'm just not impressed with the service any more.'. Model suggestion complaint_service_quality (sim=0.65, margin=0.011) is NOT ground truth. Cluster family=noise sampling=noise_near_cluster. Priors considered (1): '@AmazonHelp I've dealt with it and got a refund. But how you lot managed to send my item to GERMANY beggars belief!'. Historical reply treated as evidence only, not the answer.","refund_request (sim=0.639, Refund / compensation request and refund status); shipping_speed (sim=0.574, Paid-for / Prime delivery speed not honoured (one/two-day/same-day)); delivery_driver (sim=0.567, Delivery driver behaviour complaint (threw package / did not knock / lied / no contact))","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent complaint_service_quality; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.577073+00:00,model_recommendation
GC-009,ack_thanks,ack_thanks,Conversation closure: thank you / acknowledgement,DRAFT (verify): Conversation closure: thank you / acknowledgement — customer wrote: '@AmazonHelp Details sent. Please check.',auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,false,false,fits,"Model-draft from ack_thanks; margin=0.04, sim=0.722. Human must confirm/correct. Cluster=detail_provided. ",0,no,MEDIUM,Model-draft suggests ack_thanks; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Details sent. Please check.'. Model suggestion ack_thanks (sim=0.722, margin=0.04) is NOT ground truth. Cluster family=detail_provided sampling=common_confident. Priors considered (2): '@AmazonHelp It's more than ONE MONTH for something that should have taken 2 days. 'Apologies' won't work. Please do some'. Historical reply treated as evidence only, not the answer.","detail_provided (sim=0.682, Already provided the requested details (DM / form / email / screenshots)); status_update_request (sim=0.597, Asking support to check / verify current status); resolution_thanks (sim=0.555, Issue now resolved / sorted - acknowledgment)","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent ack_thanks; confirm routing auto_ok; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.577854+00:00,model_recommendation
GC-010,resolution_pending,resolution_pending,"Awaiting resolution outcome / case progress (investigation, complaint, case)","DRAFT (verify): Awaiting resolution outcome / case progress (investigation, complaint, case) — customer wrote: '@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!'",escalate,Requires private/order-specific investigation or human review; do not handle fully automatically from public message.,Acknowledge and direct to private/secure channel; must not request order IDs/payment/phone publicly; must not promise outcome.,false,false,fits,"Model-draft from resolution_pending; margin=0.033, sim=0.666. Human must confirm/correct. Cluster=noise. ",0,no,MEDIUM,Model-draft suggests resolution_pending; requires HUMAN verification before use as label.,"Current message: '@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!'. Model suggestion resolution_pending (sim=0.666, margin=0.033) is NOT ground truth. Cluster family=noise sampling=noise_near_cluster. No prior in-corpus customer turns. Historical reply treated as evidence only, not the answer.","contact_phone_issue (sim=0.575, Phone / IVR / callback channel not working); status_update_request (sim=0.559, Asking support to check / verify current status); agent_escalation (sim=0.559, Escalation to supervisor / manager / senior team)","In CLI verify: read MESSAGE alone first, then priors; confirm/override intent resolution_pending; confirm routing escalate; set entities (draft uses 0); decide second-opinion flag. You must press [s]ave in eval.annotate to create ground truth.",2026-09-12T13:31:21.578183+00:00,model_recommendation
