conversation_id,status,flags,message_count,customer_messages,brand_messages,direct_customer_to_brand,unique_authors,start_time,end_time,span_hours,max_adjacent_gap_hours
272,KEEP,,7,4,3,3,2,2017-11-22 09:14:39+00:00,2017-11-22 10:06:26+00:00,0.8630555555555556,0.37277777777777776
325,EXCLUDE,no_direct_customer_to_brand,2,1,1,0,2,2017-11-22 08:55:35+00:00,2017-11-22 09:06:00+00:00,0.1736111111111111,0.1736111111111111
617,KEEP,,5,3,2,2,2,2017-10-31 22:16:32+00:00,2017-10-31 23:32:26+00:00,1.265,0.8855555555555555
621,EXCLUDE,no_direct_customer_to_brand,2,1,1,0,2,2017-10-31 22:19:34+00:00,2017-10-31 22:28:34+00:00,0.15,0.15
624,KEEP,,4,2,2,1,2,2017-10-31 22:12:37+00:00,2017-10-31 22:34:32+00:00,0.36527777777777776,0.2563888888888889
630,KEEP,,5,3,2,1,4,2017-10-31 21:27:49+00:00,2017-11-01 12:53:34+00:00,15.429166666666667,14.371666666666666
632,EXCLUDE,no_direct_customer_to_brand,2,1,1,0,2,2017-10-31 21:34:58+00:00,2017-10-31 22:27:00+00:00,0.8672222222222222,0.8672222222222222
634,EXCLUDE,no_direct_customer_to_brand,2,1,1,0,2,2017-10-31 21:39:58+00:00,2017-10-31 22:26:37+00:00,0.7775,0.7775
636,EXCLUDE,no_direct_customer_to_brand,2,1,1,0,2,2017-10-31 22:05:36+00:00,2017-10-31 22:26:07+00:00,0.34194444444444444,0.34194444444444444
643,KEEP,,7,4,3,2,2,2017-10-30 23:44:45+00:00,2017-10-31 22:26:07+00:00,22.689444444444444,21.1725
646,KEEP,,4,2,2,1,2,2017-10-31 21:40:30+00:00,2017-11-01 08:11:34+00:00,10.517777777777777,9.656944444444445
649,EXCLUDE,no_direct_customer_to_brand,2,1,1,0,2,2017-10-31 22:17:47+00:00,2017-10-31 22:24:47+00:00,0.11666666666666667,0.11666666666666667
652,KEEP,,6,3,3,2,2,2017-10-31 22:11:15+00:00,2017-10-31 23:07:33+00:00,0.9383333333333334,0.43444444444444447
659,KEEP,,4,2,2,1,2,2017-10-31 22:02:14+00:00,2017-10-31 22:21:10+00:00,0.31555555555555553,0.1461111111111111
662,EXCLUDE,large_time_gap;no_direct_customer_to_brand,3,2,1,0,3,2017-10-27 10:58:09+00:00,2017-10-31 22:21:01+00:00,107.38111111111111,107.25777777777778
664,EXCLUDE,no_direct_customer_to_brand,2,1,1,0,2,2017-10-31 21:50:49+00:00,2017-10-31 22:20:34+00:00,0.49583333333333335,0.49583333333333335
667,KEEP,,3,2,1,1,2,2017-10-31 22:11:10+00:00,2017-11-01 01:26:58+00:00,3.263333333333333,3.124722222222222
672,KEEP,,7,5,2,2,3,2017-10-31 20:59:45+00:00,2017-10-31 22:21:12+00:00,1.3575,0.8913888888888889
678,KEEP,,12,8,4,5,3,2017-10-31 20:06:57+00:00,2017-10-31 22:17:27+00:00,2.175,1.2780555555555555
682,KEEP,,5,3,2,1,2,2017-10-31 13:34:50+00:00,2017-10-31 22:17:00+00:00,8.702777777777778,8.491666666666667
690,KEEP,,9,4,5,3,2,2017-10-31 21:45:15+00:00,2017-11-01 05:32:57+00:00,7.795,7.1625
693,EXCLUDE,no_direct_customer_to_brand,2,1,1,0,2,2017-10-31 22:10:21+00:00,2017-10-31 22:16:00+00:00,0.09416666666666666,0.09416666666666666
695,EXCLUDE,no_direct_customer_to_brand,2,1,1,0,2,2017-10-31 21:17:03+00:00,2017-10-31 22:15:28+00:00,0.9736111111111111,0.9736111111111111
1695,KEEP,,5,3,2,2,2,2017-10-31 22:40:01+00:00,2017-10-31 22:58:00+00:00,0.2997222222222222,0.1913888888888889
1699,KEEP,,8,5,3,4,2,2017-10-31 22:34:38+00:00,2017-10-31 23:06:00+00:00,0.5227777777777778,0.12277777777777778
1708,KEEP,,4,2,2,1,2,2017-10-31 19:08:41+00:00,2017-10-31 22:42:00+00:00,3.555277777777778,3.368888888888889
