candidate_id,annotator,intent_id,intent_name,primary_goal,entities,routing_expectation,escalation_reason,response_requirements,ambiguity,ood,taxonomy_verdict,taxonomy_notes,needs_second_opinion,model_suggestion,suggestion_outcome,annotated_at
GC-127,dhrumil,follow_up_on_support_request,follow_up_on_support_request,Customer is following up after submitting requested details and is waiting for support/action,[],clarify,The customer has not stated a concrete issue/request that can be resolved from the message alone,"Acknowledge the update and, if appropriate, explain what happens next without claiming an action has occurred",True,False,context_dependent,Status update rather than a clearly actionable support request,False,,,
GC-123,dhrumil,order_status_/_order_issue,Order status / order issue,Customer wants AmazonHelp to investigate an issue associated with their order.,[],escalate,This is order/account-specific and would require private investigation; the customer should not provide order details publicly on Twitter.,Acknowledge the issue and direct the customer to a private/secure support channel without requesting order details publicly.,False,False,fits,The customer's goal is an order-related support investigation; public handling requires a private handoff.,False,,,
GC-023,dhrumil,ack_thanks,Acknowledgement / thanks,Customer is acknowledging the support interaction and expressing thanks; no new support request is made.,[],auto_ok,,A brief acknowledgement is sufficient; no substantive support action is required.,False,False,fits,Simple acknowledgement with no new customer request.,False,,,
GC-012,dhrumil,counterfeit_product_complaint,Counterfeit product complaint,Customer is reporting or complaining that an item is counterfeit and wants Amazon to address the issue.,[],escalate,Counterfeit allegations require investigation and potentially seller/order-specific information; this should not be resolved automatically from the public message alone.,Acknowledge the complaint and direct the customer toward an appropriate private support/investigation process without requesting sensitive order information publicly.,False,False,new_intent,Distinct product-authenticity/counterfeit complaint. The customer is making a substantive allegation rather than asking a routine order-status question.,False,,,
GC-155,dhrumil,support_representative_escalation_/_inconsistent_support,Support representative escalation / inconsistent support,Customer is complaining about receiving inconsistent responses from different support representatives and wants the issue handled consistently.,[],escalate,The customer reports conflicting support responses and dissatisfaction with the handling of the case; a human support review may be needed.,"Acknowledge the inconsistent support experience and provide a clear, consistent next step without making unsupported claims about the case.",False,False,fits,"The customer's current concern is inconsistent responses from support representatives, not the already-issued refund itself.",False,,,
GC-003,dhrumil,acknowledgement_/_thanks,Acknowledgement / thanks,Customer is acknowledging the information and expressing thanks; no new support request is made.,[],auto_ok,,A brief acknowledgement is sufficient; no substantive support action is required.,False,False,fits,Simple acknowledgement in German with no new customer request.,False,,,
GC-196,dhrumil,order_status,Order status / order issue,Customer wants AmazonHelp to investigate an issue with their order.,[],escalate,Order/account-specific investigation requires private handling.,Acknowledge the issue and direct the customer to a private support channel.,False,False,fits,Clear order-related support request.,False,,,
GC-070,dhrumil,complaint_service_quality,Regional (ES/FR) delivery & support quality complaints,Customer is complaining about poor delivery/support service and wants Amazon to address the service issue.,[],escalate,The complaint involves a potentially sensitive and account-specific purchase dispute and alleged misconduct by delivery/support staff; it requires human investigation and should not be resolved publicly on Twitter.,"Acknowledge the complaint, avoid making claims about the investigation or purchase status, and direct the customer to a private support channel for case-specific assistance.",False,False,fits,Substantive delivery and support complaint involving alleged staff misconduct and a disputed order status; appropriate for human investigation and private handling.,False,megacluster_unclear,corrected,2026-09-12T12:34:48.076208+00:00
GC-071,dhrumil,ack_willdo,Conversation closure: commitment to follow the suggested action,Customer is confirming they will follow AmazonHelp's suggested action and wait for the delivery update.,[],auto_ok,,,False,False,fits,,False,ack_willdo,accepted,2026-09-12T13:09:56.031193+00:00
GC-006,dhrumil,empathy_farewell,"Conversation closure: empathy / politeness formula (that's sad, have a nice day)","DRAFT (verify): Conversation closure: empathy / politeness formula (that's sad, have a nice day) — customer wrote: '@AmazonHelp Already handled, just venting. It was a pretty big bummer.'",[],auto_ok,,Brief acknowledgement only; no order/account action; must not request private details publicly.,False,False,fits,"Model-draft from empathy_farewell; margin=0.127, sim=0.623. Human must confirm/correct. Cluster=noise. ",False,empathy_farewell,accepted,2026-09-12T14:30:41.232011+00:00
