cluster_id,size,median_member_chars,url_share,ack_share,exact_dup_share,top_exact_texts,multilingual_flag,es_share,de_share,fr_share,hi_share
0,35,21.0,0.0,0.0,1.0,'@AmazonHelp Thank you' (x35),no,0.0,0.0,0.0,0.0
1,79,22.0,0.0,0.0,0.9367088607594937,'@AmazonHelp Thank you!' (x55); '@AmazonHelp thank you!' (x11); '@AmazonHelp Thank You!' (x4),no,0.0,0.0,0.0,0.0
2,49,22.0,0.0,0.0,0.9591836734693877,'@AmazonHelp Thank you!' (x43); '@AmazonHelp Thank you !' (x4); '@AmazonHelp thank you! c:' (x1),no,0.0,0.0,0.0,0.0
3,33,21.0,0.0,0.0,0.9696969696969697,'@AmazonHelp Thank you' (x32); '@AmazonHelp Thank You' (x1),no,0.0,0.0,0.0,0.0
4,82,21.0,0.0,0.0,0.975609756097561,'@AmazonHelp Thank you' (x61); '@AmazonHelp thank you' (x12); '@AmazonHelp Thankyou' (x4),no,0.0,0.0,0.0,0.0
5,67,22.0,0.0,0.0,0.9253731343283582,'@AmazonHelp Thank you.' (x60); '@AmazonHelp Thank You.' (x2); '@AmazonHelp Thanks. Appreciate &amp; look forward.' (x1),no,0.0,0.0,0.0,0.0
6,34,21.0,0.0,0.0,0.9411764705882353,'@AmazonHelp Ok thanks' (x24); '@AmazonHelp ok thanks' (x4); '@AmazonHelp OK thanks' (x2),no,0.0,0.0,0.0,0.0
7,12267,138.0,0.06888399771745334,0.0,0.019075568598679385,'@AmazonHelp Amazon Logistics' (x19); '@AmazonHelp Amazon logistics' (x19); '@AmazonHelp Amazon.in' (x17),yes,0.213,0.041,0.068,0.0
8,126,123.5,0.07142857142857142,0.0,0.023809523809523808,"""@AmazonHelp Sir, the MRP doesn't change so frequently. And, FYI i have checked t"" (x3); '@AmazonHelp What do you mean prices are ever changing? Is @115850 a stock exchan' (x1); '@AmazonHelp I went through the link thanks for the reply . But the price mention' (x1)",no,0.071,0.0,0.0,0.0
9,35,112.0,0.14285714285714285,0.0,0.0,"'@AmazonHelp Deng, Satish k &amp; Shubhashree all successfully did fuck all excep' (x1); '@AmazonHelp @115851 is big joker and @115850 big looser not even keep their word' (x1); ""@AmazonHelp @297359 Once a joker always a joker @115851 correct me if I'm wrong"" (x1)",no,0.0,0.029,0.0,0.0
10,82,28.5,0.012195121951219513,0.0,0.23170731707317074,'@AmazonHelp It says AMZL US' (x10); '@AmazonHelp AMZL US?' (x3); '@AmazonHelp AMZL US.' (x3),no,0.012,0.012,0.024,0.0
11,59,52.0,0.0,0.0,0.11864406779661017,'@AmazonHelp Colis privé' (x4); '@AmazonHelp Colis privé.' (x3); '@AmazonHelp Sent my email address by private message thank you' (x1),yes,0.288,0.0,0.271,0.0
12,157,82.0,0.05732484076433121,0.0,0.0,'@AmazonHelp This contest commences from today.There was a similar contest whose ' (x1); '@AmazonHelp Sir pls update ur page abt prizes !! Or it seems to be a gimmick for' (x1); '@AmazonHelp Not upload winner list of LGQ6APPQUIZ on 30th nov' (x1),no,0.083,0.032,0.006,0.0
13,59,110.0,0.03389830508474576,0.0,0.0,"'@AmazonHelp i tried almost every single pin code available in the country and no' (x1); ""@AmazonHelp Well I'm gonna try certain pin codes from Pune or Kolhapur. Hope it'"" (x1); ""@AmazonHelp 416 003 or 416 012 are my first choice of pin codes.. If it's not el"" (x1)",yes,0.22,0.0,0.0,0.0
14,481,37.0,0.006237006237006237,0.0,0.060291060291060294,'@AmazonHelp Check DM' (x3); '@AmazonHelp I sent a DM' (x3); '@AmazonHelp Can I DM?' (x3),yes,0.119,0.01,0.081,0.0
15,76,123.5,0.10526315789473684,0.0,0.0,'@AmazonHelp I used @115821 for my Halloween costume because I trust the company.' (x1); '@AmazonHelp I ordered a pedestal fan on September 17th it was due on October 12t' (x1); '@AmazonHelp What’s the account of US costumer service?' (x1),yes,0.118,0.053,0.039,0.0
16,43,139.0,0.18604651162790697,0.0,0.0,"'@AmazonHelp hmmm...About that, I actually have already checked the local courier' (x1); '@AmazonHelp @4772 doch sie brauchen nur bei Hermes anrufen, sich mit dem örtlich' (x1); '@AmazonHelp aber ne Gutschrift oder für Hermes das Taxi bezahlen, könnten Sie be' (x1)",yes,0.116,0.395,0.023,0.0
17,36,24.0,0.0,0.0,0.7777777777777778,'@AmazonHelp Ok thank you' (x15); '@AmazonHelp Okay thanks' (x5); '@AmazonHelp okay thanks' (x3),no,0.0,0.0,0.0,0.0
18,84,101.0,0.047619047619047616,0.0,0.05952380952380952,"'@AmazonHelp Royal mail' (x3); '@AmazonHelp Royal Mail' (x2); ""@AmazonHelp Wasn't tracked as sent via Royal Mail. I've emailed the seller."" (x1)",no,0.095,0.0,0.0,0.0
19,63,107.0,0.047619047619047616,0.0,0.0,"'@AmazonHelp Instead of an actual human with emotions and empathy, I am getting c' (x1); '@AmazonHelp Thanks but I’ve already written a half-dozen times and it’s abundant' (x1); ""@AmazonHelp Sérieux, c'est un robot qui répond c'est ca ? Ou c'est une blague ?"" (x1)",yes,0.222,0.016,0.048,0.0
20,32,140.0,0.0625,0.0,0.0625,"'@AmazonHelp Intelcom Courrier Canada Inc.' (x2); ""@AmazonHelp Intelcom Express. I couldn't contact them last night since I got hom"" (x1); ""@AmazonHelp That's three distinct #fails: Hiring IntelCom, IntelCom's total coll"" (x1)",no,0.094,0.0,0.0,0.0
21,56,83.5,0.017857142857142856,0.0,0.0,"'@AmazonHelp Ok...actually in my product how we can creat SKU code that is the pr' (x1); ""@AmazonHelp Un code promotionnel qui ne fonctionne pas et on me dit qu'on va reg"" (x1); ""@AmazonHelp Thank you, I just couldn't figure out what to do with the codes I go"" (x1)",yes,0.268,0.054,0.161,0.0
22,122,45.5,0.0,0.0,0.0,"'@AmazonHelp I got it sorted. Thanks for the help.' (x1); '@AmazonHelp Thank you. Got it sorted for now' (x1); '@AmazonHelp All sorted now, a replacement has been sorted. Thanks' (x1)",no,0.033,0.0,0.0,0.0
23,92,133.5,0.03260869565217391,0.0,0.0,"'@AmazonHelp Schon erledigt. Bekomme ich denn direkt Ersatz zugeschickt, oder mus' (x1); ""@AmazonHelp Pour que je puisse me faire rembourser sans problème sur l'article q"" (x1); ""@AmazonHelp j'ai reçu un mauvais article"" (x1)",yes,0.489,0.304,0.565,0.0
24,44,149.0,0.11363636363636363,0.0,0.0,"'@AmazonHelp What a bummer :( it’s not just this order, DHL is like a synonym for' (x1); '@AmazonHelp Lo sé. La cuestión es que DHL no intentó contactarme para entregar m' (x1); '@AmazonHelp Wollte erstmal mit DHL telefonieren' (x1)",yes,0.182,0.773,0.205,0.0
25,83,55.0,0.0,0.0,0.0,"'@AmazonHelp Ahh no worries. Thanks for the help. Have a good day :)' (x1); '@AmazonHelp Perfecto,, Feliz dia 😊' (x1); '@AmazonHelp Ok, merci à vous ! Bonne journée 😉' (x1)",yes,0.084,0.048,0.47,0.0
26,273,53.0,0.040293040293040296,0.0,0.10622710622710622,'@AmazonHelp Any update?' (x7); '@AmazonHelp Any updates?' (x4); '@AmazonHelp Any update on this?' (x3),yes,0.172,0.011,0.0,0.0
27,38,104.0,0.05263157894736842,0.0,0.0,"'@AmazonHelp I’ve read all of that and my review was no way rude and followed eve' (x1); '@AmazonHelp So reviews which are in your favour will only get posted then whats ' (x1); '@AmazonHelp No sé cómo se hace, puse la reseña que estaba mal y me la rechazaron' (x1)",yes,0.211,0.026,0.026,0.0
28,37,108.0,0.02702702702702703,0.0,0.0,"""@AmazonHelp They haven't given a return address so I opted for the first option "" (x1); ""@AmazonHelp Hey I've got another issue with yet another Chinese seller/store. Th"" (x1); ""@AmazonHelp It's says China post"" (x1)",yes,0.405,0.054,0.135,0.0
29,552,117.0,0.034420289855072464,0.0,0.007246376811594203,'@AmazonHelp Thank you team' (x2); '@AmazonHelp Yes only got the mail that we have escalated. Similar mails I alread' (x2); '@AmazonHelp What support team are you talking about ? I called twice n they make' (x1),yes,0.168,0.009,0.009,0.0
30,205,86.0,0.024390243902439025,0.0,0.0,'@AmazonHelp Please reply with necessary resolution...' (x1); '@AmazonHelp Have shared the details in the above linked which was shared by u. N' (x1); '@AmazonHelp Done this. What about resolution ??' (x1),yes,0.322,0.005,0.0,0.0
31,49,136.0,0.061224489795918366,0.0,0.0,"""@AmazonHelp Of course, I'll definitely shop before festival of Diwali."" (x1); ""@AmazonHelp You guys can deliver wrong items but you can't deliver right items b"" (x1); '@AmazonHelp Please unblock my account, I need to purchase and gift products to m' (x1)",no,0.122,0.0,0.0,0.0
32,54,93.0,0.12962962962962962,0.0,0.0,"'@AmazonHelp Jaipur India' (x1); '@AmazonHelp As per https://t.co/Ongr9eOJJm , this feature is not yet supported. ' (x1); '@AmazonHelp @115851 look what you have created in India' (x1)",no,0.13,0.0,0.0,0.0
