sample_id,corpus_row,script,lenbin,customer_message_id,conversation_id,created_dt,text
N2-000,389,latin_plain,mid,17200,17216,2017-11-02 08:34:40+00:00,@AmazonHelp Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept
N2-001,614,latin_plain,short,21078,21079,2017-11-02 08:11:11+00:00,"@AmazonHelp And he left it on the doorstep anyway, after creating merry hell"
N2-002,2711,latin_plain,long,77598,77617,2017-11-30 18:35:31+00:00,"@AmazonHelp Oh GOD ! again link, fill up and will get the copy-paste emails.. Even I am telling you the FACTS about the possibilities. What you guys doing there ? @115850 paying you, for what.. Its mystery. @115851 @115821 @5339 #ShameOnYouAmazon"
N2-003,3245,latin_plain,short,93537,93543,2017-11-30 15:25:16+00:00,@AmazonHelp Latest example. Yes this is a Prime item. https://t.co/aBIOp7d9CY
N2-004,3541,latin_plain,mid,99940,99945,2017-11-30 17:08:31+00:00,@AmazonHelp Yes I did. And no you weren’t. The telephone service was appealing. The first agent hung up and the second wasn’t able to give me any date at all. Really not good.
N2-005,4342,latin_plain,vshort,122805,122806,2017-11-24 00:31:54+00:00,@AmazonHelp saw it news he got cought. camera. thanks.
N2-006,4427,latin_acc,mid,124793,124795,2017-11-24 01:48:25+00:00,"@AmazonHelp Inicialmente estaba programada para el día 19, después cambió para el día 20, ese día no me encontraron, cambié mi dirección a mi trabajo y después ya no se comunicaron para nada"
N2-007,4636,latin_plain,long,128070,128087,2017-11-23 07:05:36+00:00,@AmazonHelp I m damned sure D's tym also @115821 will act filthy #digitalmafia @115850 @116618 @116935 @115830 @117634 @115851 @120844 @127586 @144772 @4871 @144773 @144771 @4211 @144769 https://t.co/xPJ3qdGX0Y
N2-008,5657,latin_plain,short,144115,144116,2017-11-24 13:44:18+00:00,@AmazonHelp Oh now d onus lies on me to provide all d details? Pls pull out d order details 4__credit_card__
N2-009,5783,latin_acc,mid,147335,147336,2017-11-24 15:07:35+00:00,"@AmazonHelp Até eu me surpreendi! Vi q tinha ido pra instalações da transportadora, pisquei, minha mãe gritou q já tinham entregado o livro. Medalha de ouro em entrega 🏆🏅"
N2-010,5966,latin_plain,short,153633,153634,2017-11-24 16:38:49+00:00,@AmazonHelp I love when brands are so helpful and engage with customers. Can't resist not to tweet my feelings 😀
N2-011,6178,latin_plain,short,160270,160271,2017-11-24 18:57:21+00:00,"@AmazonHelp I don’t want to return the camera, I would like to be sent a user manual and a warranty."
N2-012,6541,latin_acc,vshort,169603,169604,2017-11-24 21:29:35+00:00,@AmazonHelp não achei essa informação lá no site
N2-013,7501,latin_acc,vshort,183017,183025,2017-10-04 17:44:51+00:00,@AmazonHelp Non ! Vous n’êtes très bon comme voyant 😉
N2-014,7877,latin_plain,mid,197937,197995,2017-10-05 11:07:32+00:00,@AmazonHelp @115851 was told a returnless refund wil b issued. So gave phone to someone in need. Now a pickup is scheduled. Tell me now what to do.
N2-015,8062,latin_plain,short,205693,205695,2017-10-11 23:24:35+00:00,"@AmazonHelp It shows up now, I guess features roll out in phases. Thanks for your support"
N2-016,8287,latin_plain,short,207573,207579,2017-11-15 19:33:56+00:00,@AmazonHelp Any update?? I am not getting any communication from your end.
N2-017,8348,latin_plain,short,210415,210417,2017-10-05 06:10:37+00:00,@AmazonHelp Please provide me the link so i can check the result on 25 oct
N2-018,8363,latin_plain,mid,210463,210479,2017-10-05 06:49:01+00:00,@AmazonHelp Sothat it reduces confusions for customers and fixed prices will be helpful for treating all the customers equally. 2/2
N2-019,8371,latin_plain,mid,210476,210479,2017-10-06 15:33:39+00:00,@AmazonHelp Ok. But i would like to know how they react on this and there decisions regarding this issue. So how can you manage this?
N2-020,8465,latin_acc,short,216056,216059,2017-11-23 13:50:04+00:00,"@AmazonHelp In English it may be called something different. In French, it’s “gérer vos abonnements”."
N2-021,8473,latin_plain,vshort,218031,218044,2017-10-05 19:45:19+00:00,@AmazonHelp Where are the standards?
N2-022,8676,latin_plain,short,222875,197677,2017-10-05 12:26:03+00:00,"@AmazonHelp Genuine offers, u only gave the offer of free mobile but now"
N2-023,9269,latin_plain,vshort,231713,231711,2017-10-07 11:56:02+00:00,@AmazonHelp Thanks. This worked. Appreciate quick response.
N2-024,9966,latin_plain,vshort,240149,240130,2017-10-11 10:26:51+00:00,"@AmazonHelp Guys, still no news. @115850 @115821"
N2-025,10872,latin_plain,long,264429,264435,2017-11-08 07:41:36+00:00,"@AmazonHelp Ja, habe eine Erstattung erhalten und deshalb verweigerte ich auch die Annahme. Hermesbote hat einfach gedankenlos und ohne Einwilligung bei Nachbarn abgeben. Absolute Unsitte, dass Dinge bei anderen - nicht autorisierten - Personen abgegeben werden."
N2-026,10977,latin_plain,mid,266887,266889,2017-10-05 23:49:07+00:00,@AmazonHelp I have not and the order was placed on September 29th. I feel that it is taking a lot of time to process the deliver date?
N2-027,11181,latin_acc,mid,273158,273156,2017-10-06 04:31:29+00:00,@AmazonHelp 2 marcan que el 4 Octubre están en la aduana México y otro marca desde el 13 de Septiembre que está en Rodgua... 😔
N2-028,11463,latin_plain,short,277243,277247,2017-10-14 14:17:43+00:00,@AmazonHelp @AmazonHelp Thank u.....can i put my hopes alive for any contest on iphone’s in coming week
N2-029,12981,latin_plain,mid,301060,301050,2017-10-07 13:01:59+00:00,@AmazonHelp I went to the site you directed me to and filled out the contact info. I’ve not been contacted. When will that happen? Thanks.
N2-030,13021,latin_plain,short,302243,302246,2017-10-06 21:35:07+00:00,"@AmazonHelp I have already, I didn’t even get a card through the door saying they attempted delivery, not happy at all"
N2-031,13306,latin_plain,vshort,311495,311493,2017-10-07 03:56:20+00:00,@AmazonHelp Updated already kindly check and revert
N2-032,13395,latin_plain,mid,313001,312986,2017-10-07 05:12:41+00:00,@AmazonHelp From day 1 I was telling Via emails and call but u guys kept me waiting giving assurances. I even told that the seller has wrong pin code.
N2-033,13747,latin_plain,mid,317925,317926,2017-10-07 09:47:31+00:00,"@AmazonHelp I am a hard working man, trying to make America great again @ U.S.A! I get someone in the Philippines God bless them great people!"
N2-034,14061,latin_plain,mid,320327,320325,2017-10-07 12:20:31+00:00,@AmazonHelp Nope. Yes and yes. Just this person seems not to want to do that and add work for themselves by returning to depot.
N2-035,14714,latin_plain,vshort,331993,331987,2017-10-07 20:23:00+00:00,@AmazonHelp How can It is posbl?
N2-036,14763,latin_plain,mid,332756,332757,2017-10-07 19:30:17+00:00,"@AmazonHelp I’m on amazon app from iPad and iPhone, whenever I go to kindle there is no purchase options just keep telling me about kindle unlimited"
N2-037,14950,latin_plain,mid,337406,337407,2017-10-07 22:09:26+00:00,"@AmazonHelp Hola pues pido cables, videojuegos, etc. Y con prime me llegan al día siguiente y solo con un click. Una logística muy buena que tienen ehh"
N2-038,15037,latin_plain,vshort,341402,341403,2017-10-28 08:37:34+00:00,@AmazonHelp Tired by ur answer
N2-039,15368,latin_plain,mid,347762,347763,2017-10-08 05:57:41+00:00,@AmazonHelp @115850 What about the Customer who is getting cheated becoz of ur Mistake?? I ordrd seeng Nokia.. I wnt Nokia only now
N2-040,15671,latin_plain,short,350641,350642,2017-10-08 10:41:46+00:00,@AmazonHelp However i suffered for 1 month without resolution
N2-041,16359,latin_plain,mid,364676,364673,2017-10-08 20:14:39+00:00,@AmazonHelp Yeaah!!!Great job team! Sale was brilliant and amazing ..new phone ..new clothes..new shoes...! Now hoping to get the prize as well..hahaha😁
N2-042,16412,latin_plain,mid,365644,365639,2017-10-08 20:56:57+00:00,"@AmazonHelp Fulfilled by Amazon, the CS guy said. Refused to issue a collection. I've got nothing to give my Mum for her birthday; not even a gift card!"
N2-043,16644,latin_plain,short,375830,375828,2017-10-09 10:18:26+00:00,@AmazonHelp No. Wasn't until I logged into my account when I saw that the package wasn't coming. No email/text
N2-044,16765,latin_plain,mid,378970,378971,2017-10-09 06:29:01+00:00,@AmazonHelp She couldn't spell 'librarian'; very noisy background; someone was singing. And this was a transfer; first person answered phone giggling
N2-045,16812,latin_acc,mid,379393,379389,2017-10-09 07:21:33+00:00,"@AmazonHelp La dernière fois que j'ai contacté le SAV pour une commande, j'ai demandé l'annulation et on m'a dit ""tout est OK"". Je l'ai qd-même reçue."
N2-046,18000,latin_acc,short,397345,397343,2017-10-27 13:39:24+00:00,@AmazonHelp Agradeço novamente e parabéns ficou lindo o novo layout!! 😘👏📚
N2-047,18255,latin_plain,short,407888,407890,2017-10-09 22:32:41+00:00,@AmazonHelp instead u blocked me from accessing the site unless I update my credit card for u to deduct more?
N2-048,18429,latin_plain,short,416113,416114,2017-10-10 11:28:13+00:00,@AmazonHelp Her account was charged $110 fraudulently. Every time she calls to rectify she’s hung up on!!!
N2-049,18745,latin_plain,vshort,420555,264729,2017-10-10 07:13:11+00:00,@AmazonHelp Not yet just posted it here now.
N2-050,19078,latin_plain,short,424071,424069,2017-10-12 09:50:18+00:00,@AmazonHelp After 15 reschedules of pickup and 5 days wasted. No resolution still.
N2-051,20055,latin_plain,vshort,438814,282739,2017-10-18 09:09:43+00:00,@AmazonHelp One more SMS https://t.co/irk5Hx7xS3
N2-052,20141,latin_plain,mid,439311,439335,2017-10-11 13:23:53+00:00,"@AmazonHelp Still waiting for any kind of an update. since its already around 7pm IST, i'm assuming im not getting any of my products today.Thanks a lot"
N2-053,20543,latin_plain,mid,444345,444347,2017-11-22 09:31:59+00:00,@AmazonHelp is there any problem if this card is delivered after the delivery of printer??what is the procedure of this extension can you please eloborate... regards
N2-054,21191,latin_plain,mid,457763,457764,2017-12-01 02:15:18+00:00,@AmazonHelp You lost my package for probably the 4th time since I got to college. I literally have to ship things to my house and have my parents drive to me.
N2-055,21373,latin_plain,vshort,462536,462538,2017-12-01 02:38:24+00:00,@AmazonHelp Thanks! I'll check it out soon
N2-056,21450,latin_plain,mid,465115,465122,2017-12-01 04:20:39+00:00,@AmazonHelp Seems like everyone is getting the same thing tonight. But a better excuse would be nice besides weather/natural disaster literally it’s been sunny all day https://t.co/pqXDJP29Wh
N2-057,21611,latin_plain,short,468770,468789,2017-11-08 09:58:34+00:00,@AmazonHelp What understanding? Answer me why should I suffer loss of Rs 5500 due to your mistake?
N2-058,21761,latin_acc,vshort,470867,470865,2017-12-01 09:39:29+00:00,"@AmazonHelp Sérieux, vous découvrez ? Lol"
N2-059,22243,latin_plain,short,479374,479376,2017-12-01 13:21:35+00:00,@AmazonHelp Yes. All I want is the tree I ordered to be delivered to me at the price I paid for it.
N2-060,22486,latin_plain,vshort,483859,483860,2017-12-01 14:52:25+00:00,@AmazonHelp Great success.... https://t.co/hWXmVxutVi
N2-061,22592,latin_plain,vshort,486669,486691,2017-11-30 01:52:08+00:00,@AmazonHelp Any progress?
N2-062,22873,latin_plain,short,493284,493292,2017-12-02 16:05:29+00:00,@AmazonHelp dude.. no update till now... shin chan season 1 still unavailable..
N2-063,22880,latin_plain,long,493304,493309,2017-11-12 13:17:47+00:00,@AmazonHelp Here is what Maplins attitude was to the whole thing of poor deliveries and who is accountable for it. Really poor attitude. Just because an item isn’t broken doesn’t mean it’s a good customer experience. Sort it out @115821 https://t.co/4W19KUWHhU
N2-064,23720,latin_plain,short,515301,515303,2017-12-02 00:35:54+00:00,@AmazonHelp Results is yesterday till Ur working really Ur disappointing the audience
N2-065,24054,latin_plain,vshort,524927,524913,2017-12-03 04:04:26+00:00,@AmazonHelp update your team to dispatch the order😡
N2-066,24118,latin_plain,long,526187,526181,2017-12-02 09:26:27+00:00,@AmazonHelp I have palced order from account where login id is my mobile no. Though i have seperate account having my emaild as login. Still you can use the email to communicate but not to current order details. To check my current order use phone no as Login I'd. Thanks
N2-067,25127,latin_plain,long,549370,549355,2017-12-02 19:14:36+00:00,@AmazonHelp Do you really? Have you sat in for the first Saturday you've been off in month waiting on a parcel that no one actually attempted to deliver and now have only the option of waiting in yet ANOTHER day for the same parcel which may or may not be delivered tomorrow???
N2-068,25664,latin_plain,mid,568355,568357,2017-12-03 02:14:49+00:00,"@AmazonHelp Ya dont say? Yeah I know that. I'm talking about an order that shipped Thursday and was ""scheduled"" today and suddenly now it's Tuesday... not the first time either. Try again."
N2-069,26027,latin_plain,long,579035,579041,2017-12-03 12:04:45+00:00,@AmazonHelp I have just done that &amp; have been told I need to wait 24 hours for them to contact me as to whether we get a refund but my main concern is that someone was in my house taking in parcels so you are obviously taking the drivers word for it
N2-070,26086,latin_plain,short,580532,580534,2017-12-03 12:09:49+00:00,@AmazonHelp @133261 Plz do so for the upgrade of OnePlus 5 to OnePlus 5t
N2-071,26413,latin_acc,long,590050,590048,2017-12-03 16:57:00+00:00,"@AmazonHelp Je l'ai déjà fait. Mais je maintiens qu'il n'y a rien de logique à additionner 22 fois des frais de port pour 22 articles commandés chez la même boutique... Pour moi ça reste du vol, tout simplement."
N2-072,26980,latin_plain,mid,608062,608065,2017-11-22 12:42:48+00:00,"@AmazonHelp Sorry, the last picture was the shipment confirmation email. This one is the original order email, which also shows 11/20 as the delivery date https://t.co/zVyWtR5YtV"
N2-073,27137,latin_plain,long,613978,613974,2017-11-25 07:55:21+00:00,"@AmazonHelp If it is Urban India, no matter what the courier service is I get the product bt now that you know there are two option for my rural pincode &amp; GATI is failing to deliver then why nt dispatch the item only with the one that delivers which is India Post. as simple as tht"
N2-074,27488,latin_acc,long,629521,629523,2017-11-22 15:32:05+00:00,@AmazonHelp J’ai 3 commandes que j’ai passer hier matin. Toutes en prime avec « livraison garanti le 22 novembre avant 20h » elle sont même pas expédié. Cela serre à rien de proposer du prime dans ce cas 😩
N2-075,27687,latin_acc,long,637187,637200,2017-11-22 19:47:11+00:00,@AmazonHelp Por lo que hoy no recibo nada como me habían dicho desde @80 @130687 lo que significa que son unos SINVERGÜENZAS q se piensan q no tenemos nada q hacer y podemos estar en casa esperando todo el día a que traigan un paquete q ellos mismos dijeron q entregaban hoy
N2-076,27839,latin_plain,long,641773,641775,2017-11-22 20:40:45+00:00,"@AmazonHelp Thanks, I did. USPS told me how to get my package from the parcel locker and finally understood that the issue is that they didn’t leave me the key/left it in another person’s mailbox. They opened a case, but I have little confidence."
N2-077,27911,latin_plain,short,643742,643760,2017-10-13 08:57:35+00:00,@AmazonHelp Jst answer my qustn. I proms i wil nvr evr buy anything from @115850 again. Wil nvr dstrb u. @115851 @1840
N2-078,28136,latin_plain,short,650099,650100,2017-11-25 07:42:27+00:00,@AmazonHelp Couple of days back 500g nescafe classic was Rs. 980 but today it is Rs. 1030 on amazon.in.
N2-079,28273,latin_plain,mid,654269,654274,2017-11-22 23:50:27+00:00,"@AmazonHelp No. I explained this to them! I have no family left, and none of our friends have a printer and I’m not able to get about much!"
N2-080,28983,latin_acc,long,674243,674244,2017-11-23 10:37:00+00:00,"@AmazonHelp Il n'y a pas de problèmes de votre côté, au contraire, mon colis est livré un jour en avance. Ce jour en question étant un jour sans obligations de mon côté, j'ai hâte de recevoir mon colis &lt;3 C'est agréable de se savoir écouté merci :)"
N2-081,29343,latin_plain,vshort,683830,683833,2017-11-23 12:03:32+00:00,@AmazonHelp They were not ready to help
N2-082,29442,latin_acc,long,686671,686672,2017-11-23 13:55:36+00:00,"@AmazonHelp Pas encore, j'attends que @132988 fasse son travail, je ne peux pas conduire actuellement donc aucun moyen de récupérer mon colis là ils vont daigner le déposer. Saoulant quand on paie un premium pour être tranquille.."
N2-083,29462,latin_plain,long,686758,686760,2017-11-23 13:37:04+00:00,"@AmazonHelp Thanks for the help, but giving someone a printed order confirmation as a gift isn’t a remarkable experience. Would you be able to send this feedback to a Product Manager. It’s a huge miss that there isn’t even a gift card to give."
N2-084,29463,latin_plain,mid,686762,686654,2017-11-23 14:04:49+00:00,@AmazonHelp . @283974 figured it out. The code should have been GIFTBOOK17 rather than GIFTBOOK2017. Thanks for your help tho :)
N2-085,29579,latin_plain,mid,694388,694389,2017-11-23 21:36:00+00:00,"@AmazonHelp That’s great, but why is someone who has never used the app to order more important and you offer them discounts over someone who has ordered before"
N2-086,29661,latin_plain,mid,697907,697908,2017-10-10 19:15:27+00:00,"@AmazonHelp I got a Prime Student free 6-month trial with the diginbox for students in the UK, does that mean I’m an invitee?"
N2-087,30316,latin_plain,vshort,725255,725247,2017-10-15 05:08:20+00:00,@AmazonHelp . YOUR ARE JUST WORST
N2-088,30409,latin_plain,vshort,726964,726961,2017-10-12 07:38:09+00:00,@AmazonHelp You can send me the invite @__email__
N2-089,30467,latin_plain,vshort,728083,728084,2017-10-11 07:42:48+00:00,@AmazonHelp Haha^ must be automated.
N2-090,31017,latin_plain,short,743338,354421,2017-10-14 03:57:54+00:00,@AmazonHelp Not received any after 8 Oct in which they asked for details that I replied.
N2-091,31263,latin_plain,mid,751693,751694,2017-10-12 11:32:49+00:00,@AmazonHelp Very poor customer care u having everytime we call they said u ll get ur order within 24hrs..now it's been 3 days still order not delivered
N2-092,32134,latin_plain,mid,780300,780301,2017-10-12 05:59:16+00:00,"@AmazonHelp Isnt it Unfortunate on your part,that the book of Indian author &amp; publication house unavailable in Amazon India,but in Amazon US? @115851"
N2-093,32248,latin_plain,vshort,782342,782327,2017-11-25 09:21:24+00:00,@AmazonHelp Yeah ok Thanks
N2-094,32850,latin_plain,vshort,793818,793816,2017-10-12 14:40:44+00:00,@AmazonHelp Sigo esperando su respuesta. Gracias de antemano
N2-095,33386,latin_plain,short,808163,808152,2017-10-13 14:25:53+00:00,@AmazonHelp No message received since yesterday. Please check your end
N2-096,33520,latin_plain,short,812414,812423,2017-11-25 12:35:28+00:00,"@AmazonHelp Faute, faute et refaute, c'est « en train », non pas « entrain »."
N2-097,33595,latin_plain,short,814290,814291,2017-10-20 20:10:40+00:00,@AmazonHelp I have paid my membership for this and it is not available in my country 😴
N2-098,34256,latin_plain,vshort,835781,835782,2017-10-13 08:57:18+00:00,@AmazonHelp Hi I have no subscriptions and no orders for £15
N2-099,34325,latin_plain,mid,836905,836906,2017-10-13 09:46:36+00:00,@AmazonHelp That's what the super-secret ppl at Amz says. I don't understand why the phone doesn't work!?!? You've got my info: multiple times.
N2-100,34331,latin_plain,mid,836920,836912,2017-10-17 09:00:45+00:00,"@AmazonHelp even i have replied back to this mail, every time i have to explain to your new customer agent each and every detail"
N2-101,34367,latin_plain,vshort,837553,837550,2017-10-13 10:45:58+00:00,@AmazonHelp Dnt call me from an ivr
N2-102,34616,latin_plain,mid,842137,842139,2017-10-20 13:13:23+00:00,@AmazonHelp It should be there becoz friends can utilise others money lying idle rather than adding it to there own account..
N2-103,34868,latin_plain,vshort,846880,846882,2017-10-20 14:33:01+00:00,"@AmazonHelp Hey thanks, it says I don't have access to this?"
N2-104,35637,latin_plain,short,870185,870151,2017-10-14 03:35:43+00:00,@AmazonHelp My name is Sachin Sadanand Aphale. Please confirm ur name so that I know who I am speaking to.
N2-105,35976,latin_plain,mid,881001,881008,2017-10-13 16:34:34+00:00,@AmazonHelp When other companies are trying their best to excel and reduce shipping times it seems @15436 is going the exact opposite direction.
N2-106,36158,latin_acc,mid,888288,888289,2017-11-25 16:34:24+00:00,@AmazonHelp Me llego un mensaje pero lo borre sin querer ¿me pueden reenviar el código de la promoción por esta vía? Gracias
N2-107,36412,latin_plain,mid,897682,897683,2017-10-21 03:33:29+00:00,@AmazonHelp Per the customer service logistics supervisor he has no set date. It's on an 18wheeler heading to some warehouse. Earliest Monday
N2-108,36489,latin_plain,mid,899450,899452,2017-10-21 04:28:42+00:00,@AmazonHelp Thanks for your prompt reply. I am already a Prime member and eagerly awaiting my Echo too which is scheduled to arrive by 3rd November 2017
N2-109,36733,latin_plain,short,911192,911194,2017-10-21 07:02:08+00:00,@AmazonHelp Yep. I qualify from tomorrow yet seller wants me to wait till 2 Nov while they investigate.
