noise_sample_pos,hdbscan_cluster,customer_message_id,conversation_id,created_dt,text,embedding_input,bucket
425,-1,24995,24999,2017-10-31 17:35:02+00:00,@AmazonHelp Provide an email ID I can write to regarding my refund.,Provide an email ID I can write to regarding my refund.,fits_cluster_theme
1639,-1,89220,89218,2017-11-30 15:09:52+00:00,@AmazonHelp Yes I just figured out on my that I will need to update this on all of my devices. after 1.5 hrs and 6 reps I got it myself. I'm furious and will be making the rest of my holiday purchases elsewhere.,Yes I just figured out on my that I will need to update this on all of my devices. after 1.5 hrs and 6 reps I got it myself. I'm furious and will be making the rest of my holiday purchases elsewhere.,fits_cluster_theme
1739,-1,93639,93632,2017-11-30 17:45:58+00:00,"@AmazonHelp Der Drittanbieter hatte mich heute einmal weitergeleitet, aber der englische Telefonsupport verweist mich an den deutschen Support, kann mich aber weder weiterleiten noch mir weiterhelfen.","Der Drittanbieter hatte mich heute einmal weitergeleitet, aber der englische Telefonsupport verweist mich an den deutschen Support, kann mich aber weder weiterleiten noch mir weiterhelfen.",fits_cluster_theme
1952,-1,103106,103108,2017-11-30 18:08:25+00:00,@AmazonHelp Any known outages?,Any known outages?,fits_cluster_theme
2082,-1,109849,109853,2017-11-23 20:01:13+00:00,"@AmazonHelp Shocking again - didn’t show up yesterday; spoke to customers services, rebooked for today...no show again https://t.co/CWv5lCwKB6","Shocking again - didn’t show up yesterday; spoke to customers services, rebooked for today...no show again https://t.co/CWv5lCwKB6",fits_cluster_theme
2103,-1,109963,109961,2017-11-23 20:18:57+00:00,@AmazonHelp Je pense vraiment à refuser et r’envoyer toutes les futures commandes livrée par @120534 c’est un transporteur totalement inefficace.,Je pense vraiment à refuser et r’envoyer toutes les futures commandes livrée par @120534 c’est un transporteur totalement inefficace.,fits_cluster_theme
2847,-1,138969,138973,2017-11-22 16:06:28+00:00,"@AmazonHelp Yes you did. 24hrs guaranteed delivery. No special instructions, it’s going to a shop for me to collect, which was made specifically so I don’t have to make multiple trips. Thanks","Yes you did. 24hrs guaranteed delivery. No special instructions, it’s going to a shop for me to collect, which was made specifically so I don’t have to make multiple trips. Thanks",fits_cluster_theme
3003,-1,142802,142806,2017-11-24 13:13:32+00:00,@AmazonHelp Luego os escribo. Muchas gracias.,Luego os escribo. Muchas gracias.,thread_turn
3087,-1,147222,147225,2017-11-24 14:51:47+00:00,@AmazonHelp C'est sûrement ma PP lapin qui vous a induit en erreur 😂,C'est sûrement ma PP lapin qui vous a induit en erreur 😂,offtopic_social
3665,-1,179384,179401,2017-10-09 13:13:26+00:00,@AmazonHelp Again submitted ur form plz this time come with positive response.,Again submitted ur form plz this time come with positive response.,fits_cluster_theme
4337,-1,206767,206769,2017-10-05 07:06:42+00:00,@AmazonHelp It says delivered yesterday handed to resident. I wasn't in all day yesterday so that's bollocks. Where's my parcel?,It says delivered yesterday handed to resident. I wasn't in all day yesterday so that's bollocks. Where's my parcel?,fits_cluster_theme
4558,-1,219597,219609,2017-10-05 02:53:35+00:00,@AmazonHelp @161019 I called three times and was denied because #moderngamingbusinesssemantics,@161019 I called three times and was denied because #moderngamingbusinesssemantics,fits_cluster_theme
